Id,QuoteId,Quote.Status,Quote.QuoteTypeText__c,Quantity,NetUnitPrice,COLACalculatedPrice__c,UnitPrice,Source_List_Price__c,Base_Price__c,QuoteActionId,ProductSellingModelId,Fortra_Product_Type__c,Partner_Pricing_Source__c,ParentQuoteLineItemId,RelatedQuoteLineItemId,Prior_Partner_Discount__c,Prior_Discretionary_Discount__c
0QLWC000003GNSg4AO,0Q0WC000002QHVp0AO,Won,Renewal,2600,,,70,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003GSnD4AW,0Q0WC000002QI0L0AW,Won,Renewal,8100,,,40,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003GUmT4AW,0Q0WC000002QIQh0AO,Won,Renewal,60000,,,23.94,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003GZxw4AG,0Q0WC000002QIdX0AW,Won,Renewal,137,,,322.02,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003GZxv4AG,0Q0WC000002QIdX0AW,Won,Renewal,21,,,311.45,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003GZVd4AO,0Q0WC000002QIez0AG,Won,Renewal,198,,,210,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003GTee4AG,0Q0WC000002QIfT0AW,Won,Renewal,6,,,256.56,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003GUcU4AW,0Q0WC000002QIsI0AW,Won,Renewal,80,,,161.21,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003Ho114AC,0Q0WC000002QKp90AG,Won,Renewal,8100,,,40,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003GpSE4A0,0Q0WC000002QLBV0A4,Won,Renewal,100,,,60,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003Gx6W4AS,0Q0WC000002QM740AG,Won,Renewal,501,,,253.31,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003GzTc4AK,0Q0WC000002QMBI0A4,Won,Renewal,1000,,,113.47,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003GyWu4AK,0Q0WC000002QMcW0AW,Won,Renewal,3855,,,40.01,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003H3Jz4AK,0Q0WC000002QMwa0AG,Won,Renewal,59396,,,23.87,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003GyPa4AK,0Q0WC000002QN6n0AG,Won,Renewal,253,,,133.53,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003H1k24AC,0Q0WC000002QNLV0A4,Won,Renewal,150,,,104.78,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003H1k34AC,0Q0WC000002QNLV0A4,Won,Renewal,850,,,383.34,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003H1k14AC,0Q0WC000002QNLV0A4,Won,Renewal,200,,,64.5,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003HG9Q4AW,0Q0WC000002QPPb0AO,Won,Renewal,60,,,38,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003HB1o4AG,0Q0WC000002QPQb0AO,Won,Renewal,200,,,64.5,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003HB1q4AG,0Q0WC000002QPQb0AO,Won,Renewal,850,,,413.44,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003HB1p4AG,0Q0WC000002QPQb0AO,Won,Renewal,150,,,113.01,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003HB1n4AG,0Q0WC000002QPQb0AO,Won,Renewal,200,,,64.51,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003HAd34AG,0Q0WC000002QQ390AG,Won,Renewal,1000,,,34.83,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003HAd44AG,0Q0WC000002QQ390AG,Won,Renewal,21457,,,38,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003HEWY4A4,0Q0WC000002QQ5L0AW,Won,Renewal,158,,,320.62,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003HEWX4A4,0Q0WC000002QQ5L0AW,Won,Renewal,34,,,256.02,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003HEvu4AG,0Q0WC000002QQNY0A4,Won,Renewal,1459,,,38,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003HFUM4A4,0Q0WC000002QQea0AG,Won,Renewal,530,,,153.3,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003HJVx4AO,0Q0WC000002QRE40AO,Won,Renewal,604,,,31.14,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003HKr44AG,0Q0WC000002QRSV0A4,Won,Renewal,100,,,64.71,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003JZ1v4AG,0Q0WC000002QRra0AG,Won,Renewal,192,,,337.9,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003HSem4AG,0Q0WC000002QSHq0AO,Won,Renewal,40,,,27.01,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003HSel4AG,0Q0WC000002QSHq0AO,Won,Renewal,185,,,38.62,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003HgAT4A0,0Q0WC000002QTiY0AW,Won,Renewal,6,,,256.56,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003HcC94AK,0Q0WC000002QTy00AG,Won,Renewal,168,,,337.9,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003FjR04AK,0Q0WC000002QU3D0AW,Won,Renewal,198,,,210,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003HedQ4AS,0Q0WC000002QU5x0AG,Won,Renewal,1000,,,113.47,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003Hi9b4AC,0Q0WC000002QUE30AO,Won,New,100,,,44.61,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003Hnq64AC,0Q0WC000002QVZW0A4,Won,Renewal,90000,,,18.9,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003HruA4AS,0Q0WC000002QVf50AG,Won,Renewal,1200,,,295.38,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003HuXK4A0,0Q0WC000002QVxX0AW,Won,Renewal,8100,,,40,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003Hr7l4AC,0Q0WC000002QW1y0AG,Won,Renewal,1,,,0,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003HxuR4AS,0Q0WC000002QWQ10AO,Won,Renewal,21,,,288.78,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003HxuQ4AS,0Q0WC000002QWQ10AO,Won,Renewal,137,,,298.58,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003Huqw4AC,0Q0WC000002QWWD0A4,Won,New,165,,,210,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003I38G4AS,0Q0WC000002QWzF0AW,Won,Renewal,20000,,,41.8,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003I6Bl4AK,0Q0WC000002QXbP0AW,Won,Renewal,501,,,253.31,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003I5d74AC,0Q0WC000002QXwA0AW,Won,Renewal,20,,,161.21,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003I7Sy4AK,0Q0WC000002QY3M0AW,Won,Renewal,110,,,322.35,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003I9eY4AS,0Q0WC000002QYWF0A4,Won,Renewal,1,,,5208.21,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003IQPx4AO,0Q0WC000002QZN20AO,Won,Renewal,147,,,133.53,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003IIYB4A4,0Q0WC000002QaAX0A0,Won,Renewal,110,,,322.35,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003ITtV4AW,0Q0WC000002QatH0AS,Won,Renewal,2385,,,106.77,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003IROa4AO,0Q0WC000002QbFJ0A0,Won,Renewal,501,,,273.2,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003IUXW4A4,0Q0WC000002QbJG0A0,Won,New,33,,,210,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003IbBv4AK,0Q0WC000002QbRR0A0,Won,Renewal,22457,,,38,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003IT8T4AW,0Q0WC000002Qbr20AC,Won,Renewal,22457,,,38,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003IiYp4AK,0Q0WC000002Qd9d0AC,Won,Renewal,1,,,0,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003IhN74AK,0Q0WC000002Qddh0AC,Won,Renewal,830,,,253.31,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003Iui24AC,0Q0WC000002Qflc0AC,Won,Renewal,350,,,57.96,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003Iui34AC,0Q0WC000002Qflc0AC,Won,Renewal,610,,,70.73,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003IvUu4AK,0Q0WC000002Qfm20AC,Won,Renewal,3855,,,80,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003J3Fl4AK,0Q0WC000002QgS80AK,Won,Renewal,300,,,202.7,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003J3mI4AS,0Q0WC000002Qgjp0AC,Won,Renewal,2205,,,108.53,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003J8df4AC,0Q0WC000002QhJI0A0,Won,New,850,,,413.44,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003J8dd4AC,0Q0WC000002QhJI0A0,Won,New,200,,,64.5,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003J8dc4AC,0Q0WC000002QhJI0A0,Won,New,200,,,64.51,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003J8de4AC,0Q0WC000002QhJI0A0,Won,New,150,,,113.01,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003JCvi4AG,0Q0WC000002QhMr0AK,Won,Renewal,60,,,168.79,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003JFDQ4A4,0Q0WC000002QiKD0A0,Won,Renewal,20000,,,41.8,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003JMfJ4AW,0Q0WC000002QjOj0AK,Won,Renewal,90000,,,18.9,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003JTHt4AO,0Q0WC000002QkRo0AK,Won,Renewal,10,,,84.66,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003JZDg4AO,0Q0WC000002QkhI0AS,Won,Renewal,417,,,207.43,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003IC7N4AW,0Q0WC000002QlnU0AS,Won,Renewal,310,,,60.41,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003IC7O4AW,0Q0WC000002QlnU0AS,Won,Renewal,150,,,62.52,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003JgTU4A0,0Q0WC000002Qlw30AC,Won,Renewal,65000,,,20.7,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003Jhhn4AC,0Q0WC000002QmGv0AK,Won,Renewal,100,,,98.6,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003JiCn4AK,0Q0WC000002QmI20AK,Won,Renewal,25,,,65.13,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003JiCm4AK,0Q0WC000002QmI20AK,Won,Renewal,160,,,32,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003JubB4AS,0Q0WC000002QmkU0AS,Won,Renewal,460,,,65.9,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003JubA4AS,0Q0WC000002QmkU0AS,Won,Renewal,150,,,53.84,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003JuWe4AK,0Q0WC000002QnWj0AK,Won,Renewal,1000,,,38,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003JuWd4AK,0Q0WC000002QnWj0AK,Won,Renewal,18998,,,38,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003J0DJ4A0,0Q0WC000002Qu7K0AS,Won,Renewal,147,,,133.53,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003GYmO4AW,0Q0WC000002REFo0AO,Won,Renewal,850,,,383.34,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003GYmQ4AW,0Q0WC000002REFo0AO,Won,Renewal,150,,,104.78,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003GYmP4AW,0Q0WC000002REFo0AO,Won,Renewal,200,,,64.5,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003GbTj4AK,0Q0WC000002REON0A4,Won,Renewal,3855,,,43.34,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003Gm3o4AC,0Q0WC000002REgD0AW,Won,Renewal,1000,,,34.83,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003HBgO4AW,0Q0WC000002RFTn0AO,Won,New,7360,,,41.8,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003HURc4AO,0Q0WC000002RFy90AG,Won,Renewal,100,,,67.72,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003HURd4AO,0Q0WC000002RFy90AG,Won,Renewal,185,,,92.35,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003HURe4AO,0Q0WC000002RFy90AG,Won,Renewal,1920,,,113.67,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003HYGI4A4,0Q0WC000002RG7g0AG,Won,Renewal,60000,,,23.94,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003GOP14AO,0Q0WC000002RGEE0A4,Won,Renewal,417,,,207.43,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003GOP04AO,0Q0WC000002RGEE0A4,Won,Renewal,50,,,56.8,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003Hbzw4AC,0Q0WC000002RGJp0AO,Won,Renewal,100,,,44.61,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003IHuX4AW,0Q0WC000002RHxZ0AW,Won,New,65000,,,20.7,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003If244AC,0Q0WC000002RIc10AG,Won,Renewal,92,,,38,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003JwTy4AK,0Q0WC000002RKLN0A4,Won,Renewal,6,,,256.56,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003Jn194AC,0Q0WC000002RM3V0AW,Won,Renewal,3855,,,40,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003J2ky4AC,0Q0WC000002RPPS0A4,Won,Renewal,530,,,165.34,,,,0jPWC000000060b2AA,Renewal Maintenance,,,,,
0QLWC000003cN584AE,0Q0WC0000037AKH0A2,Draft,Renewal,1,0,67.38,0,355,71,,0jPWC00000005yz2AA,Renewal Maintenance,"System Calculated (Pre-Procedure, Deferred List)",,,8.52,0
0QLWC000003ck6X4AQ,0Q0WC0000037XvB0AU,Draft,Renewal,1,0,67.38,0,355,71,,0jPWC00000005yz2AA,Renewal Maintenance,"System Calculated (Pre-Procedure, Deferred List)",,,8.52,0
0QLWC000003cy334AA,0Q0WC0000037muD0AQ,Draft,Renewal,1,54.58,60.64,60.64,355,71,,0jPWC00000005yz2AA,Renewal Maintenance,"System Calculated (Pre-Procedure, Deferred List)",,,8.52,6.25
0QLWC000003dAaT4AU,0Q0WC0000037yTx0AI,Accepted,Renewal,1,60.64,67.38,0,,71,,0jPWC00000005yz2AA,Renewal Maintenance,"System Calculated (Pre-Procedure, Deferred List)",,,8.52,0
0QLWC000003dEW24AM,0Q0WC00000382MH0AY,Draft,Renewal,1,67.38,67.38,67.38,355,71,7ocWC00000u7yf8YAA,0jPWC00000005yz2AA,Renewal Maintenance,"System Calculated (Pre-Procedure, Deferred List)",,,8.52,0
0QLWC000003e2Sn4AI,0Q0WC0000038aXd0AI,Draft,Renewal,1,60.64,67.38,67.38,355,71,,0jPWC00000005yz2AA,Renewal Maintenance,"System Calculated (Pre-Procedure, Deferred List)",,,8.52,0
0QLWC000003eMph4AE,0Q0WC0000039AMb0AM,Draft,Renewal,1,54.58,60.64,60.64,355,71,,0jPWC00000005yz2AA,Renewal Maintenance,"System Calculated (Pre-Procedure, Deferred List)",,,8.52,6.25
