Product2Id,Product2.ProductCode,Product2.Name,Product2.Family
01tWC00000DD1X4YAL,DM-IRC-RNM-RAWRNE,RAW Report Converter-NewMaintenance,New Maintenance
01tWC00000DD19aYAD,BI-SDW-RRM-DARM,Data Acquisition-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1JtYAL,DP-DCL-RRM-FORMRM,Forms-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1elYAD,ES-SIG-RRM-SECUIC,SECURE ICAP Gateway Advanced Security Package Per Instance-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1ZUYA1,SM-RSI-RNM-RSEOIN,Robot Schedule EnterpriseOne Interface-NewMaintenance,New Maintenance
01tWC00000DD13iYAD,SM-AJM-RRM-AJMRM,Audit Journal Manager-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1uyYAD,CM-TQU-RRM-UTQORM,Unisys - TeamQuest PMLog OS2200-OTC-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1qQYAT,CM-VCM-RNM-VCMNM,Vityl Capacity Management-NewMaintenance,New Maintenance
01tWC00000DD1dBYAT,BI-SDW-RNM-RELNM,Rodin Enterprise - Legacy-NewMaintenance,New Maintenance
01tWC00000DD1wkYAD,DM-WEB-RRM-WDDMRM,WebDocs Document Management-RenewalMaintenance,Renewal Maintenance
01tWC00000DD220YAD,FIM-FIM-RNM-CSEENM,CCM - Scan Engine - EVAL-NewMaintenance,New Maintenance
01tWC00000DD1M1YAL,GOA-GAM-RRM-GAARRM,GoAnywhere Advanced Reporting-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1LpYAL,GOA-GAM-RRM-GAAFTR,GoAnywhere Accelerated File Transfer-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1QtYAL,DP-DC-RNM-MCCOCD,Message Classification & Classification for Office & Classification for Desktop Bundle-NewMaintenance,New Maintenance
01tWC00000DD1OdYAL,GOA-GAM-RNM-GASLNM,GoAnywhere Services (legacy)-NewMaintenance,New Maintenance
01tWC00000DD20sYAD,SM-ROB-RRM-RBSARRM,"Robot Bundle - Schedule, Alert, Replay-RenewalMaintenance",Renewal Maintenance
01tWC00000DD1eZYAT,ES-SXG-RRM-SEXGES,SECURE Exchange Gateway Essential Security Package-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1krYAD,BI-QRW-RRM-SREPRM,Sequel Repository-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1pPYAT,FIM-TLC-RNM-TLCNDI,Tripwire Log Center for Network Devices (includes Remote Collector)-NewMaintenance,New Maintenance
01tWC00000DD1DnYAL,SM-EV-RNM-EASYNE,Easy View-NewMaintenance,New Maintenance
01tWC00000DD1QoYAL,CS-DFT-RRM-MAPREN,Menu & Application Program-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1baYAD,CS-PEI-RRM-PEIM,Powertech Encryption for IBM i (Auto IFS Encryption Module)-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1xUYAT,DM-DLN-RNM-WSNM,WinSpool-NewMaintenance,New Maintenance
01tWC00000DCwWAYA1,NW-INT-RRM-ISFRM,Intermapper Server - Freeware-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1ndYAD,FIM-FIM-RNM-TRIPED,Tripwire Enterprise/DB-NewMaintenance,New Maintenance
01tWC00000DD22XYAT,GS-GSE-RRM-DGE3MURM,DMZ Gateway Enterprise 3 - Multi-Site Upgrade-RenewalMaintenance,Renewal Maintenance
01tWC00000DD20fYAD,FIM-FIM-RRM-TEDEVRM,Tripwire Enterprise for Databases - EVAL-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1elYAD,ES-SIG-RRM-SECUIC,SECURE ICAP Gateway Advanced Security Package Per Instance-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1lyYAD,ES-SIG-RRM-SSSIGR,Structural Sanitization For SECURE ICAP Gateway-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1K4YAL,DP-DC-RNM-FDUPN,"Fortra DCS ""Advance"" ULTRA Package-NewMaintenance",New Maintenance
01tWC00000DD1pGYAT,FIM-TLC-RNM-TLCMII,Tripwire Log Center for Microsoft IIS (includes Advanced Log Collector Agent)-NewMaintenance,New Maintenance
01tWC00000DD20RYAT,DP-DC-RNM-FDAUPGNM,"Fortra DCS ""Advance"" ULTRA Package - Government-NewMaintenance",New Maintenance
01tWC00000DD1xhYAD,DM-DML-RRM-WSFRSR,WinSpool Fax Report Server-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1qjYAD,CM-VIM-RNM-VMPPSN,Vityl Monitor & Predictor for Physical Systems-NewMaintenance,New Maintenance
01tWC00000DCwWWYA1,FIM-FIM-RRM-IP36RE,IP360-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1uKYAT,CM-TQU-RRM-UNTEAQ,Unisys - TeamQuest LA OS2200-OTC-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1USYA1,SM-PKP-RNM-PEEKNE,PeekPlus-NewMaintenance,New Maintenance
01tWC00000DD1vYYAT,CM-TQU-RRM-UNTQSM,Unisys - TeamQuest SMFII MCP-OTC-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1BZYA1,FIM-FIM-RNM-DPENTU,Device Profiler Ev Non-Transferable Unlimited Use-NewMaintenance,New Maintenance
01tWC00000DD20WYAT,DP-DC-RRM-MCCDBSRM,Message Classification & Classification for Office & Classification for Desktop Bundle - Standard-RenewalMaintenance,Renewal Maintenance
01tWC00000DD135YAD,SM-VIT-RRM-ATIRM,Alignia - Task Instance-RenewalMaintenance,Renewal Maintenance
01tWC00000DD20vYAD,SM-ROB-RNM-RBCANM,Robot Bundle - Console & Alert-NewMaintenance,New Maintenance
01tWC00000DD1U6YAL,BI-SDW-RRM-PLRM,Parallel Loading-RenewalMaintenance,Renewal Maintenance
01tWC00000DD22gYAD,GS-GSE-RRM-HS(WCRM,HTTPS Server (includes Web client)-RenewalMaintenance,Renewal Maintenance
01tWC00000DD18HYAT,IGA-AAS-RRM-CARM,Core Access-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1b6YAD,CS-PCM-RNM-PCMIIN,Powertech Compliance Monitor for IBM i-NewMaintenance,New Maintenance
01tWC00000DD1CWYA1,DM-DML-RRM-DMBRM,Doc Management Bundle-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1TTYA1,ES-SIG-RRM-OCFEAT,OCR Feature For SECURE ICAP Gateway-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1NDYA1,GOA-GAM-RRM-GAFCSR,GoAnywhere FTP Client & Server-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1vEYAT,CM-TQU-RRM-UTQRRM,Unisys - TeamQuest Probes OS2200-OTC-RenewalMaintenance,Renewal Maintenance
01tWC00000DD0ALYA1,SM-NSS-RNM-NSSSNM,NSS - SNMP Trap Receiver-NewMaintenance,New Maintenance
01tWC00000DCyyTYAT,BI-WB-RNM-WAREBN,Warehouse Builder-NewMaintenance,New Maintenance
01tWC00000DD19YYAT,BI-SDW-RNM-DANM,Data Acquisition-NewMaintenance,New Maintenance
01tWC00000DCwW1YAL,CM-TQO-RNM-IACINE,Integrated Access Control (IAC) Option - DATA CONN-NewMaintenance,New Maintenance
01tWC00000DD18sYAD,IGA-AAS-RNM-CPNM,Core Password-NewMaintenance,New Maintenance
01tWC00000DD1orYAD,FIM-FIM-RRM-VM18RE,VnE Manager 1800-RenewalMaintenance,Renewal Maintenance
01tWC00000DD09gYAD,DM-DML-RRM-NTTPCR,Native Text to PDF Converter-RenewalMaintenance,Renewal Maintenance
01tWC00000DD11PYAT,CM-TQO-RNM-AMEPEN,ActiveMetrics Enterprise Plus Edition-NewMaintenance,New Maintenance
01tWC00000DD1CZYA1,DM-DML-RRM-DMLPRM,Doc Management Legacy Product-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1DCYA1,ES-SXG-RNM-DSSM,Document Sanitization For SECURE Exchange Gateway-NewMaintenance,New Maintenance
01tWC00000DD1q4YAD,SM-VIT-RRM-VISUME,VISUAL Message Center Dashboards-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1cMYAT,CS-PSA-RNM-PSANM,Powertech Security Auditor-NewMaintenance,New Maintenance
01tWC00000DD1bEYAT,CS-PDM-RNM-PDMIIN,Powertech Database Monitor for IBM i-NewMaintenance,New Maintenance
01tWC00000DD1KKYA1,DP-DC-RNM-FDEPNM,Fortra DCS Essential Package-NewMaintenance,New Maintenance
01tWC00000DD1cOYAT,CS-PSA-RRM-PSARM,Powertech Security Auditor-RenewalMaintenance,Renewal Maintenance
01tWC00000DCxlMYAT,CM-TQR-RNM-TQSSNM,TeamQuest Surveyor for Systems-NewMaintenance,New Maintenance
01tWC00000DD1KSYA1,DP-DC-RNM-FDDRDA,Fortra DCS for DaR (Data at rest) with DCS INTELLIGENT PROTECTION-NewMaintenance,New Maintenance
01tWC00000DD1wnYAD,DM-WFM-RNM-WFMNM,Webdocs Forms Management-NewMaintenance,New Maintenance
01tWC00000DD09wYAD,SM-RON-RRM-NHRM,NETWORK-Host-RenewalMaintenance,Renewal Maintenance
01tWC00000DD13SYAT,IGA-AAS-RRM-ACISRE,Aspect Communications IVR Software-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1mdYAD,FIM-FIM-RNM-TEA,TE Academic Institution Site License - Database-NewMaintenance,New Maintenance
01tWC00000DD1MVYA1,GOA-GAM-RNM-GABAMN,GoAnywhere Business Activity Monitor-NewMaintenance,New Maintenance
01tWC00000DD1ZgYAL,SM-RSP-RRM-ROSPAC,Robot Space-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1gIYAT,BI-CRO-RNM-SCRM,SEQUEL Client Report Option-NewMaintenance,New Maintenance
01tWC00000DD1uAYAT,CM-TQU-RRM-UNITEA,Unisys - TeamQuest Harvest MCP-OTC-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1MbYAL,GOA-GAM-RRM-GACCPR,GoAnywhere Cloud Connector Premium-RenewalMaintenance,Renewal Maintenance
01tWC00000DD20bYAD,FIM-FIM-RRM-IERM,IP360 - EVAL-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1GYYA1,DM-DML-RNM-EFSLNM,Email File Server - Legacy-NewMaintenance,New Maintenance
01tWC00000DCxmNYAT,FIM-FIM-RNM-TTBELN,Tripwire - Term Based Enterprise License-NewMaintenance,New Maintenance
01tWC00000DD1UcYAL,SM-PFA-RRM-PARM,Performance Analyzer-RenewalMaintenance,Renewal Maintenance
01tWC00000DD16AYAT,CM-TQO-RNM-CCML1P,CCM Level 1 - PS APP MODULE-NewMaintenance,New Maintenance
01tWC00000DD1KOYA1,DP-DC-RNM-FDEUPN,Fortra DCS ESSENTIALS ULTRA PACKAGE-NewMaintenance,New Maintenance
01tWC00000DD1WrYAL,SM-QRC-RNM-QREMNE,QRemote Control-NewMaintenance,New Maintenance
01tWC00000DD1YtYAL,SM-RHA-RRM-RHRM,Robot HA-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1rjYAD,SM-VMC-RNM-VMCL,VMC - Linux Operations Agent-NewMaintenance,New Maintenance
01tWC00000DD12xYAD,SM-VIT-RRM-AOBSRM,Alignia - Online Business Service-RenewalMaintenance,Renewal Maintenance
01tWC00000DD17sYAD,DM-DML-RNM-CIBNM,Comprehensive i Bundle-NewMaintenance,New Maintenance
01tWC00000DCxloYAD,DP-DC-RNM-TCMNM,Titus Classification for Mobile-NewMaintenance,New Maintenance
01tWC00000DD1enYAD,ES-SIG-RNM-SECICA,SECURE ICAP Gateway Advanced Security Package Per User-NewMaintenance,New Maintenance
01tWC00000DD1JLYA1,GOA-FIL-RNM-FCRPNM,FileCatalyst Reverse Proxy-NewMaintenance,New Maintenance
01tWC00000DD1R4YAL,SM-SYM-RNM-MMNM,Message Manager-NewMaintenance,New Maintenance
01tWC00000DD1w4YAD,SM-VMC-RRM-VICO,VISUAL Control for Jobs-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1tjYAD,FIM-FML-RRM-TVLSRM,Tripwire VIA for Large Stores-RenewalMaintenance,Renewal Maintenance
01tWC00000DD09UYAT,DM-DML-RRM-NDIRCR,Native DataImport Report Converter-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1BVYA1,FIM-FIM-RNM-DPELNM,Device Profiler Ev Limited-NewMaintenance,New Maintenance
01tWC00000DCzhdYAD,BI-SQ-RNM-SSBPNM,SEQUEL SMB Bundle - Primary-NewMaintenance,New Maintenance
01tWC00000DD21DYAT,FIM-TLC-RRM-TLCERM,Tripwire Log Center - EVAL-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1rBYAT,SM-VMC-RRM-VHOM,VMC - Hub Option-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1vCYAT,CM-TQU-RNM-UTQPRO,Unisys - TeamQuest Probes OS2200-OTC-NewMaintenance,New Maintenance
01tWC00000DD1tKYAT,FIM-TLC-RNM-TLCRLC,Tripwire Log Center Remote Log Collector-NewMaintenance,New Maintenance
01tWC00000DD1YnYAL,SM-RCP-RNM-RONM,Robot CPA-NewMaintenance,New Maintenance
01tWC00000DD1QtYAL,DP-DC-RNM-MCCOCD,Message Classification & Classification for Office & Classification for Desktop Bundle-NewMaintenance,New Maintenance
01tWC00000DD14tYAD,RPA-AUD-RNM-AURU,Automate Runtime-NewMaintenance,New Maintenance
01tWC00000DD1QsYAL,DP-DC-RRM-MCRM,Message Classification-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1luYAD,ES-SXG-RRM-SSSEXR,Structural Sanitization For SECURE Exchange Gateway-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1LfYAL,SM-HCS-RNM-GANNNE,Gannett Suite-NewMaintenance,New Maintenance
01tWC00000DD1m8YAD,DM-SV4-RRM-S4RM,Surveyor/400-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1HaYAL,DM-EW-RNM-EWLNM,Enterprise Workflow - Legacy-NewMaintenance,New Maintenance
01tWC00000DD1fqYAD,SM-VMC-RNM-SKENM,Security KM Events-NewMaintenance,New Maintenance
01tWC00000DD1rdYAD,SM-VMC-RRM-VMCSAR,VMC - iSeries Support Agent (Powered by VSP)-RenewalMaintenance,Renewal Maintenance
