Id,AttributeName,AttributeValue,QuoteLineItemId,QuoteLineItem.Product2.ProductCode,QuoteLineItem.Product2.Name,QuoteLineItem.Fortra_Product_Type__c,QuoteLineItem.NetUnitPrice,QuoteLineItem.UnitPrice,QuoteLineItem.Source_List_Price__c,QuoteLineItem.Quote.Status,QuoteLineItem.Quote.Name
0zuWC000003ctRaYAI,Maintenance Type Defn,Basic,0QLWC000002QyDt4AK,SM-MP-RSS-MPS,MessengerPlus,Subscription,0,0,,Draft,Testing Subscription Date Selector
0zuWC000003cu13YAA,Maintenance Type Defn,Basic,0QLWC000002QyYs4AK,,DCS Advanced Bundle OLD,Subscription,16.8,42,,Draft,Testing Quote - 0113 (do not delete!) Copy Ashley Edit
0zuWC000003cu1CYAQ,Maintenance Type Defn,Basic,0QLWC000002QyYt4AK,,DCS Essentials Bundle OLD,Subscription,14,35,,Draft,Testing Quote - 0113 (do not delete!) Copy Ashley Edit
0zuWC000003cxjhYAA,Maintenance Type Defn,Basic,0QLWC000002R0ag4AC,,DCS Advanced Bundle OLD,Subscription,16.8,42,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003cxjqYAA,Maintenance Type Defn,Basic,0QLWC000002R0ah4AC,,DCS Essentials Bundle OLD,Subscription,14,35,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003dbKhYAI,Maintenance Type Defn,Basic,0QLWC000002RJgY4AW,,DCS Essentials Bundle OLD,Subscription,31.5,35,,Draft,Testing Quote - 0113 (do not delete!) Copy 1
0zuWC000003dbKqYAI,Maintenance Type Defn,Basic,0QLWC000002RJgb4AG,,DCS Advanced Bundle OLD,Subscription,16.38,42,,Draft,Testing Quote - 0113 (do not delete!) Copy 1
0zuWC000003dpYsYAI,Maintenance Type Defn,Basic,0QLWC000002RQV84AO,GOA-GAM-RSS-GAASRS,GoAnywhere AS2 Send/Receive,Subscription,0,0,,Draft,Joe Eginger
0zuWC000003dr4NYAQ,Maintenance Type Defn,Basic,0QLWC000002RREH4A4,GOA-GAM-NRPS-GAAAP,GoAnywhere Advanced Agent,Professional Service,0,0,,Draft,Joe Eginger
0zuWC000003dwTqYAI,Maintenance Type Defn,Basic,0QLWC000002RU2T4AW,BI-ISA-RSS-INSISU,Insite Analytics,Subscription,0,0,,Draft,test
0zuWC000003dwTyYAI,Maintenance Type Defn,Basic,0QLWC000002RU2U4AW,BI-ISA-RSS-IACS,Insite Analytics - Core,Subscription,1375,1375,,Draft,test
0zuWC000003e4G9YAI,Maintenance Type Defn,Basic,0QLWC000002RY7i4AG,GOA-GAM-RSS-GAAAS,GoAnywhere Advanced Agent,Subscription,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003e4GSYAY,Maintenance Type Defn,Basic,0QLWC000002RY7m4AG,GOA-GAM-RSS-GAAFTS,GoAnywhere Accelerated File Transfer,Subscription,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003e4GbYAI,Maintenance Type Defn,Basic,0QLWC000002RY7n4AG,GOA-GAM-NRPS-GAAAP,GoAnywhere Advanced Agent,Perpetual,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003e4H5YAI,Maintenance Type Defn,Basic,0QLWC000002RY7r4AG,,DCS Advanced Bundle OLD,Subscription,16.8,42,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003e4HJYAY,Maintenance Type Defn,Basic,0QLWC000002RY7s4AG,GOA-GAM-NRPS-GAARP,GoAnywhere Advanced Reporting,Perpetual,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003e4HQYAY,Maintenance Type Defn,Basic,0QLWC000002RY7u4AG,GOA-GAM-RSS-GAAFTS,GoAnywhere Accelerated File Transfer,Subscription,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003e4HgYAI,Maintenance Type Defn,Basic,0QLWC000002RY804AG,,DCS Essentials Bundle OLD,Subscription,17.5,35,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003e4HkYAI,Maintenance Type Defn,Basic,0QLWC000002RY9J4AW,HRM-HRM-RSL-CLSAAS,Click and Launch Security Awareness Training - All Star,Subscription,2179.52,2180,,Accepted,Q-AB MTC Testing-2026-02-06
0zuWC000003e5YrYAI,Maintenance Type Defn,Basic,0QLWC000002Rafl4AC,GOA-GAM-RSS-GAAAS,GoAnywhere Advanced Agent,Subscription,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003e5ZAYAY,Maintenance Type Defn,Basic,0QLWC000002Rafp4AC,GOA-GAM-RSS-GAAFTS,GoAnywhere Accelerated File Transfer,Subscription,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003e5ZJYAY,Maintenance Type Defn,Basic,0QLWC000002Rafq4AC,GOA-GAM-NRPS-GAAAP,GoAnywhere Advanced Agent,Perpetual,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003e5ZnYAI,Maintenance Type Defn,Basic,0QLWC000002Rafu4AC,,DCS Advanced Bundle OLD,Subscription,16.8,42,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003e5a1YAA,Maintenance Type Defn,Basic,0QLWC000002Rafv4AC,GOA-GAM-NRPS-GAARP,GoAnywhere Advanced Reporting,Perpetual,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003e5a8YAA,Maintenance Type Defn,Basic,0QLWC000002Rafx4AC,GOA-GAM-RSS-GAAFTS,GoAnywhere Accelerated File Transfer,Subscription,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003e9ECYAY,Maintenance Type Defn,Basic,0QLWC000002Rag34AC,,DCS Essentials Bundle OLD,Subscription,17.5,35,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003ek0uYAA,Maintenance Type Defn,Basic,0QLWC000002RtVV4A0,,DCS Advanced Bundle OLD,Subscription,42,42,,Draft,Testing Quote - 0113 Copy Copy
0zuWC000003ek12YAA,Maintenance Type Defn,Basic,0QLWC000002RtVW4A0,,DCS Essentials Bundle OLD,Subscription,35,35,,Draft,Testing Quote - 0113 Copy Copy
0zuWC000003ekfKYAQ,Maintenance Type Defn,Basic,0QLWC000002RriE4AS,GOA-GAM-RSS-GAAAS,GoAnywhere Advanced Agent,Subscription,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003ekfdYAA,Maintenance Type Defn,Basic,0QLWC000002RriI4AS,GOA-GAM-RSS-GAAFTS,GoAnywhere Accelerated File Transfer,Subscription,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003ekfmYAA,Maintenance Type Defn,Basic,0QLWC000002RriJ4AS,GOA-GAM-NRPS-GAAAP,GoAnywhere Advanced Agent,Perpetual,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003ekg5YAA,Maintenance Type Defn,Basic,0QLWC000002RriL4AS,SM-AJS-RSS-AJSS,Advanced Job Scheduler,Subscription,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003ekgMYAQ,Maintenance Type Defn,Basic,0QLWC000002RriO4AS,,DCS Advanced Bundle OLD,Subscription,16.8,42,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003ekgaYAA,Maintenance Type Defn,Basic,0QLWC000002RriP4AS,GOA-GAM-NRPS-GAARP,GoAnywhere Advanced Reporting,Perpetual,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003ekghYAA,Maintenance Type Defn,Basic,0QLWC000002RriT4AS,GOA-GAM-RSS-GAAFTS,GoAnywhere Accelerated File Transfer,Subscription,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003ekybYAA,Maintenance Type Defn,Basic,0QLWC000002RraA4AS,GOA-GAM-RSS-GAAAS,GoAnywhere Advanced Agent,Subscription,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003ekyuYAA,Maintenance Type Defn,Basic,0QLWC000002RraE4AS,GOA-GAM-RSS-GAAFTS,GoAnywhere Accelerated File Transfer,Subscription,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003ekz3YAA,Maintenance Type Defn,Basic,0QLWC000002RraF4AS,GOA-GAM-NRPS-GAAAP,GoAnywhere Advanced Agent,Perpetual,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003ekzMYAQ,Maintenance Type Defn,Basic,0QLWC000002RraH4AS,SM-AJS-RSS-AJSS,Advanced Job Scheduler,Subscription,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003ekzdYAA,Maintenance Type Defn,Basic,0QLWC000002RraK4AS,,DCS Advanced Bundle OLD,Subscription,16.8,42,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003ekzrYAA,Maintenance Type Defn,Basic,0QLWC000002RraL4AS,GOA-GAM-NRPS-GAARP,GoAnywhere Advanced Reporting,Perpetual,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003ekzyYAA,Maintenance Type Defn,Basic,0QLWC000002RraP4AS,GOA-GAM-RSS-GAAFTS,GoAnywhere Accelerated File Transfer,Subscription,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003emYwYAI,Maintenance Type Defn,Basic,0QLWC000002RsPl4AK,BI-ISA-NRPS-INSIPE,Insite Analytics,Perpetual,0,0,,Draft,Q-UAT Regional Price Test (Australia)-2026-02-11
0zuWC000003emZ6YAI,Maintenance Type Defn,Basic,0QLWC000002RsPm4AK,BI-ISA-NRPS-IACP,Insite Analytics - Core,Perpetual,2500,2500,,Draft,Q-UAT Regional Price Test (Australia)-2026-02-11
0zuWC000003enA6YAI,Maintenance Type Defn,Basic,0QLWC000002RraV4AS,,DCS Essentials Bundle OLD,Subscription,17.5,35,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003enBnYAI,Maintenance Type Defn,Basic,0QLWC000002RriZ4AS,,DCS Essentials Bundle OLD,Subscription,17.5,35,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003eodwYAA,Maintenance Type Defn,Basic,0QLWC000002RtTt4AK,GOA-GAM-RSS-GAAAS,GoAnywhere Advanced Agent,Subscription,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003eoeFYAQ,Maintenance Type Defn,Basic,0QLWC000002RtTx4AK,GOA-GAM-RSS-GAAFTS,GoAnywhere Accelerated File Transfer,Subscription,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003eoeOYAQ,Maintenance Type Defn,Basic,0QLWC000002RtTy4AK,GOA-GAM-NRPS-GAAAP,GoAnywhere Advanced Agent,Perpetual,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003eoehYAA,Maintenance Type Defn,Basic,0QLWC000002RtU04AK,SM-AJS-RSS-AJSS,Advanced Job Scheduler,Subscription,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003eoeyYAA,Maintenance Type Defn,Basic,0QLWC000002RtU34AK,,DCS Advanced Bundle OLD,Subscription,16.8,42,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003eofCYAQ,Maintenance Type Defn,Basic,0QLWC000002RtU44AK,GOA-GAM-NRPS-GAARP,GoAnywhere Advanced Reporting,Perpetual,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003eofJYAQ,Maintenance Type Defn,Basic,0QLWC000002RtU84AK,GOA-GAM-RSS-GAAFTS,GoAnywhere Accelerated File Transfer,Subscription,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003eofZYAQ,Maintenance Type Defn,Basic,0QLWC000002RtUE4A0,,DCS Essentials Bundle OLD,Subscription,17.5,35,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003eonbYAA,Maintenance Type Defn,Basic,0QLWC000002RtaL4AS,BI-ISA-NRPS-INSIPE,Insite Analytics,Perpetual,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003eonrYAA,Maintenance Type Defn,Basic,0QLWC000002RtaM4AS,BI-ISA-NRPS-IACP,Insite Analytics - Core,Perpetual,2500,2500,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003evnUYAQ,Maintenance Type Defn,Basic,0QLWC000002Rxnd4AC,GOA-GAM-RSS-GAAAS,GoAnywhere Advanced Agent,Subscription,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003evnnYAA,Maintenance Type Defn,Basic,0QLWC000002Rxnh4AC,GOA-GAM-RSS-GAAFTS,GoAnywhere Accelerated File Transfer,Subscription,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003evnwYAA,Maintenance Type Defn,Basic,0QLWC000002Rxni4AC,GOA-GAM-NRPS-GAAAP,GoAnywhere Advanced Agent,Perpetual,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003evoFYAQ,Maintenance Type Defn,Basic,0QLWC000002Rxnk4AC,SM-AJS-RSS-AJSS,Advanced Job Scheduler,Subscription,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003evoWYAQ,Maintenance Type Defn,Basic,0QLWC000002Rxnn4AC,,DCS Advanced Bundle OLD,Subscription,16.8,42,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003evokYAA,Maintenance Type Defn,Basic,0QLWC000002Rxno4AC,GOA-GAM-NRPS-GAARP,GoAnywhere Advanced Reporting,Perpetual,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003evorYAA,Maintenance Type Defn,Basic,0QLWC000002Rxns4AC,GOA-GAM-RSS-GAAFTS,GoAnywhere Accelerated File Transfer,Subscription,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003evp7YAA,Maintenance Type Defn,Basic,0QLWC000002Rxny4AC,,DCS Essentials Bundle OLD,Subscription,17.5,35,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003ex4dYAA,Maintenance Type Defn,Basic,0QLWC000002Ryjh4AC,BI-ISA-NRPS-INSIPE,Insite Analytics,Perpetual,0,0,,Draft,Kyrstin Testing Quote
0zuWC000003ex4sYAA,Maintenance Type Defn,Basic,0QLWC000002Ryji4AC,BI-ISA-NRPS-IACP,Insite Analytics - Core,Perpetual,2500,2500,,Draft,Kyrstin Testing Quote
0zuWC000003exHSYAY,Maintenance Type Defn,Basic,0QLWC000002RytN4AS,GOA-GAM-RSS-GAAWRS,GoAnywhere Advanced Workflows and Reporting,Subscription,12650,12650,,Draft,Kyrstin Testing Quote
0zuWC000003exJ4YAI,Maintenance Type Defn,Standard,0QLWC000002Ryuz4AC,ES-SIG-RSS-SSSIGS_LIC,Structural Sanitization For SECURE ICAP Gateway,Subscription,577.7064,577.7064,,Accepted,Renewal Quote
0zuWC000003fPCCYA2,Maintenance Type Defn,Basic,0QLWC000002SDvd4AG,BI-ISA-NRPS-IACP,Insite Analytics - Core,Perpetual,2500,2500,,Draft,"Q-UAT Data""-2026-02-12"
0zuWC000003fPCNYA2,Maintenance Type Defn,Basic,0QLWC000002SDve4AG,BI-ISA-NRPS-INSIPE,Insite Analytics,Perpetual,0,0,,Draft,"Q-UAT Data""-2026-02-12"
0zuWC000003fvNDYAY,Maintenance Type Defn,Basic,0QLWC000002SQzJ4AW,ES-CEP-RSL-ACTIDB,Active Defense BEC Threat Intelligence Service,Subscription,94000,94000,,Draft,Q-UAT Data-2026-02-13
0zuWC000003g14TYAQ,Maintenance Type Defn,Basic,0QLWC000002STab4AG,BI-ISA-NRPS-IACP,Insite Analytics - Core,Perpetual,2500,2500,,Draft,Q-UAT Data-2026-02-13
0zuWC000003g14eYAA,Maintenance Type Defn,Basic,0QLWC000002STac4AG,BI-ISA-NRPS-INSIPE,Insite Analytics,Perpetual,0,0,,Draft,Q-UAT Data-2026-02-13
0zuWC000003g16AYAQ,Maintenance Type Defn,Basic,0QLWC000002STcD4AW,BI-ISA-NRPS-INSIPE,Insite Analytics,Perpetual,0,0,,Draft,"Q-UAT Data""-2026-02-13"
0zuWC000003g16SYAQ,Maintenance Type Defn,Basic,0QLWC000002STcE4AW,BI-ISA-NRPS-IACP,Insite Analytics - Core,Perpetual,2500,2500,,Draft,"Q-UAT Data""-2026-02-13"
0zuWC000003g1CXYAY,Maintenance Type Defn,Basic,0QLWC000002STfR4AW,BI-ISA-NRPS-IACP,Insite Analytics - Core,Perpetual,2500,2500,,Draft,"Q-UAT Data""-2026-02-13"
0zuWC000003g1CiYAI,Maintenance Type Defn,Basic,0QLWC000002STfS4AW,BI-ISA-NRPS-INSIPE,Insite Analytics,Perpetual,0,0,,Draft,"Q-UAT Data""-2026-02-13"
0zuWC000003g2ACYAY,Maintenance Type Defn,Basic,0QLWC000002SU8T4AW,GOA-GAM-RSS-GAAAS,GoAnywhere Advanced Agent,Subscription,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003g2AVYAY,Maintenance Type Defn,Basic,0QLWC000002SU8X4AW,GOA-GAM-RSS-GAAFTS,GoAnywhere Accelerated File Transfer,Subscription,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003g2AeYAI,Maintenance Type Defn,Basic,0QLWC000002SU8Y4AW,GOA-GAM-NRPS-GAAAP,GoAnywhere Advanced Agent,Perpetual,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003g2AxYAI,Maintenance Type Defn,Basic,0QLWC000002SU8a4AG,SM-AJS-RSS-AJSS,Advanced Job Scheduler,Subscription,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003g2BEYAY,Maintenance Type Defn,Basic,0QLWC000002SU8d4AG,,DCS Advanced Bundle OLD,Subscription,16.8,42,,Draft,Testing Quote - 0113 (do not delete!) Copy
0zuWC000003g2BSYAY,Maintenance Type Defn,Basic,0QLWC000002SU8e4AG,GOA-GAM-NRPS-GAARP,GoAnywhere Advanced Reporting,Perpetual,0,0,,Draft,Testing Quote - 0113 (do not delete!) Copy
