
===== SHEET: BSS-22410 (15129r x 18c) =====
	BSS-22410
	As of 2025-06-04 10:45:55 Pacific Standard Time/PST • Generated by Jillian Jones
	Filtered By
	Show: All products
	Price Book: Price Book Name  ↑	Product Family  ↑	SubCategory  ↑		Product Name	Product Code	Product Description	Product Model	Pricing Method	List Price	Term Discount Level	Term Discount Schedule: Schedule Name	Default Quantity	Option Selection Method	Active	IsRenewalProduct
					EFT Enterprise with 2 Years M&S - Tier 1 [Dev]	GSEFT-EN-SX2-T1-DV			List	11598.33			1	Click	False	False
					EFT Enterprise with 2 Years M&S - Tier 2 [Dev]	GSEFT-EN-SX2-T2-DV			List	23665			1	Click	False	False
					EFT Enterprise with 2 Years M&S - Tier 3 [Dev]	GSEFT-EN-SX2-T3-DV			List	36665			1	Click	False	False
					EFT Enterprise with 3 Years M&S - Tier 1 [Dev]	GSEFT-EN-SX3-T1-DV			List	12665			1	Click	False	False
					EFT Enterprise with 3 Years M&S - Tier 2 [Dev]	GSEFT-EN-SX3-T2-DV			List	25998.33			1	Click	False	False
					EFT Enterprise with 3 Years M&S - Tier 3 [Dev]	GSEFT-EN-SX3-T3-DV			List	39998.33			1	Click	False	False
					EFT Enterprise with 2 Years 24x7 M&S - Tier 1 [Dev]	GSEFT-EN-PX2-T1-DV			List	13331.67			1	Click	False	False
					EFT Enterprise with 2 Years 24x7 M&S - Tier 2 [Dev]	GSEFT-EN-PX2-T2-DV			List	26665			1	Click	False	False
					EFT Enterprise with 2 Years 24x7 M&S - Tier 3 [Dev]	GSEFT-EN-PX2-T3-DV			List	41665			1	Click	False	False
					EFT Enterprise with 3 Years 24x7 M&S - Tier 1 [Dev]	GSEFT-EN-PX3-T1-DV			List	14998.33			1	Click	False	False
					EFT Enterprise with 3 Years 24x7 M&S - Tier 2 [Dev]	GSEFT-EN-PX3-T2-DV			List	29998.33			1	Click	False	False
					EFT Enterprise with 3 Years 24x7 M&S - Tier 3 [Dev]	GSEFT-EN-PX3-T3-DV			List	46665			1	Click	False	False
					EFT Enterprise with 1 Year M&S - Tier 1	GSEFT-EN-SX1-T1			List	29995			1	Click	True	False
					EFT Enterprise with 1 Year M&S - Tier 2	GSEFT-EN-SX1-T2			List	62995			1	Click	True	False
					EFT Enterprise with 1 Year M&S - Tier 3	GSEFT-EN-SX1-T3			List	97995			1	Click	True	False
					EFT Enterprise with 1 Year 24x7 M&S - Tier 1	GSEFT-EN-PX1-T1			List	32995			1	Click	True	False
					EFT Enterprise with 1 Year 24x7 M&S - Tier 2	GSEFT-EN-PX1-T2			List	68495			1	Click	True	False
					EFT Enterprise with 1 Year 24x7 M&S - Tier 3	GSEFT-EN-PX1-T3			List	105995			1	Click	True	False
					EFT Enterprise with 1 Year M&S - Tier 1 [Non-Prod]	GSEFT-EN-SX1-T1-NP	EFT Enterprise with 1 Year M&S - Tier 1 [Non-Prod]		List	14997.5			1	Click	True	False
					EFT Enterprise with 1 Year M&S - Tier 2 [Non-Prod]	GSEFT-EN-SX1-T2-NP	EFT Enterprise with 1 Year M&S - Tier 2 [Non-Prod]		List	31497.5			1	Click	True	False
					EFT Enterprise with 1 Year M&S - Tier 3 [Non-Prod]	GSEFT-EN-SX1-T3-NP	EFT Enterprise with 1 Year M&S - Tier 3 [Non-Prod]		List	48997.5			1	Click	True	False
					EFT Enterprise with 1 Year 24x7 M&S - Tier 1 [Non-Prod]	GSEFT-EN-PX1-T1-NP	EFT Enterprise with 1 Year 24x7 M&S - Tier 1 [Non-Prod]		List	16497.5			1	Click	True	False
					EFT Enterprise with 1 Year 24x7 M&S - Tier 2 [Non-Prod]	GSEFT-EN-PX1-T2-NP	EFT Enterprise with 1 Year 24x7 M&S - Tier 2 [Non-Prod]		List	34247.5			1	Click	True	False
					EFT Enterprise with 1 Year 24x7 M&S - Tier 3 [Non-Prod]	GSEFT-EN-PX1-T3-NP	EFT Enterprise with 1 Year 24x7 M&S - Tier 3 [Non-Prod]		List	52997.5			1	Click	True	False
					EFT Enterprise with 1 Year M&S - Tier 1 [Dev]	GSEFT-EN-SX1-T1-DV			List	9998.33			1	Click	True	False
					EFT Enterprise with 1 Year M&S - Tier 2 [Dev]	GSEFT-EN-SX1-T2-DV			List	20998.33			1	Click	True	False
					EFT Enterprise with 1 Year M&S - Tier 3 [Dev]	GSEFT-EN-SX1-T3-DV			List	32665			1	Click	True	False
					EFT Enterprise with 1 Year 24x7 M&S - Tier 1 [Dev]	GSEFT-EN-PX1-T1-DV			List	10998.33			1	Click	True	False
					EFT Enterprise with 1 Year 24x7 M&S - Tier 2 [Dev]	GSEFT-EN-PX1-T2-DV			List	22831.67			1	Click	True	False
					EFT Enterprise with 1 Year 24x7 M&S - Tier 3 [Dev]	GSEFT-EN-PX1-T3-DV			List	35331.67			1	Click	True	False
			EFT Enterprise Servers		EFT 7 Enterprise [Dev]	GSEFT-N-ENT-DV	EFT 7 Enterprise [Dev]		List	7522.35			1	Click	True	False
					EFT 7 Enterprise [Non-Prod]	GSEFT-N-ENT-NP	EFT 7 Enterprise [Non-Prod]		List	11397.5			1	Click	True	False
					EFT 7 Enterprise Upgrade [Dev] (EFT6)	GSEFTU-N-ENT-DV	EFT 7 Enterprise Upgrade [Dev] (EFT6)		List	3761.175			1	Click	True	False
					EFT 7 Enterprise Upgrade [Dev] (from SMB)Full	GSEFTUG-BBF-N-ENT-DV	EFT 7 Enterprise Upgrade [Dev] (from SMB)Full		List	6118.98			1	Click	True	False
					EFT 7 Enterprise Upgrade [Non-Prod] (SMB)	GSEFTUG-N-ENT-SB	EFT 7 Enterprise Upgrade [Standby] (SMB)		List	10750			1	Click	True	False
					EFT 7 Enterprise Upgrade (from SMB)	GSEFTUG-N-ENT	EFT 7 Enterprise Upgrade (from SMB)		List	21500			1	Click	True	False
					EFT 7 Enterprise Upgrade (from SMB) SFTP	GSEFTUG-BBS-N-ENT	EFT 7 Enterprise Upgrade (from SMB) SFTP		List	20605			1	Click	True	False
					EFT 7 Enterprise Upgrade [Dev]  (SMB)	GSEFTUG-N-ENT-DV	EFT 7 Enterprise Upgrade [Dev]  (SMB)		List	7095			1	Click	True	False
					EFT 7 Enterprise Upgrade (from SMB) Full	GSEFTUG-BBF-N-ENT	EFT 7 Enterprise Upgrade (from SMB) Full		List	18542.36			1	Click	False	False
					EFT 7 Enterprise Upgrade [Non-Prod] (from SMB) SFTP	GSEFTUG-BBS-N-ENT-SB	EFT 7 Enterprise Upgrade [Standby] (from SMB) SFTP		List	10302.5			1	Click	True	False
					EFT 7 Enterprise [Non-Prod] (from SMB) Full	GSEFTUG-BBF-N-ENT-NP	EFT 7 Enterprise [Non-Prod] (from SMB) Full		List	9271.18			1	Click	True	False
					EFT 7 Enterprise Upgrade [Non-Prod] (EFT6)	GSEFTU-N-ENT-SB	EFT 7 Enterprise Upgrade [Standby] (EFT6)		List	5698.75			1	Click	True	False
					EFT 7 Enterprise Upgrade (from SMB) HTTPS	GSEFTUG-BBH-N-ENT	EFT 7 Enterprise Upgrade (from SMB) HTTPS		List	18954			1	Click	True	False
					EFT 2013 Enterprise	GSEFT-N-ENT			List	18145			1	Click	False	False
					EFT 7 Enterprise Upgrade [Dev] (from SMB) Buyback SFTP	GSEFTUG-BBS-N-ENT-DV			List	6143.5			1	Click	False	False
					Tappin - NRE	1579	Tappin - NRE		List	1			1	Click	False	False
					Licensed Software Service Fee/Royalty – Seagate	1578	Licensed Software Service Fee/Royalty – Seagate		List	1			1	Click	False	False
					EFT Server Admin Web Service Custom Solution [Non-Prod]	GSSVC-N-AWSCS-NP	EFT Server Admin Web Service Custom Solution [Non-Prod]		List	6590			1	Click	False	False
					EFT 7 Enterprise	GSEFT-N-ENT	EFT 7 Enterprise		List	27354			1	Click	True	False
					EFT Server 3 + Integ Svcs + Maint + Sup - Bundle	599			List	10995			1	Click	False	False
					EFT Server 4 (-PGP -ARM) - (Bundled)	780			List	5936			1	Click	False	False
					EFT Server 4 (+PGP -ARM) - Upgrade	787			List	4945			1	Click	False	False
					EFT Server 5 (+PGP +ARM)	EFT5+PGP+ARM-N			List	17490			1	Click	False	False
					EFT Server 5 (+PGP -ARM) - Upgrade	EFT5U+PGP-ARM-N			List	5999			1	Click	False	False
					EFT Server 5 (-PGP -ARM) - Upgrade	EFT5U-PGP-ARM-N			List	3995			1	Click	False	False
					xx do not use EFT Professional Services - 10 Hrs.	598			List	695			1	Click	False	False
					EFT Server 4 (+PGP -ARM)	766			List	12095			1	Click	False	False
					EFT Server 4 (-PGP -ARM) - Standby License	888			List	4395			1	Click	False	False
					EFT Server 4 (-PGP +ARM)	902			List	9890			1	Click	False	False
					EFT Server 5 (-PGP -ARM)	EFT5-PGP-ARM-N			List	9995			1	Click	False	False
					EFT Server 3 + Integ Svcs - Bundle (Do not Use)	606			List	9995			1	Click	False	False
					EFT Server 3 - Hot Backup	702			List	2700			1	Click	False	False
					EFT Server 4 (+PGP +ARM)	906			List	14290			1	Click	False	False
					EFT Server 5 (-PGP -ARM) - Standby License	EFT5-PGP-ARM-N-SB			List	5695			1	Click	False	False
					EFT 2013 Enterprise Upgrade (from GSFTPS)	GSEFTUG-N-ENT			List	17450			1	Click	False	False
					EFT 2013 Enterprise Upgrade [Standby] (EFT5)	GSEFTU-N-ENT-SB			List	4536.25			1	Click	False	False
					EFT Server 4 (+PGP +ARM) - Upgrade	909			List	5825			1	Click	False	False
					EFT Server 5 (+PGP +ARM) - Standby License	EFT5+PGP+ARM-N-SB			List	6995			1	Click	False	False
					EFT Server 5 (+PGP -ARM)	EFT5+PGP-ARM-N			List	14995			1	Click	False	False
					EFT Server 5 (-PGP +ARM) - Standby License	EFT5-PGP+ARM-N-SB			List	6995			1	Click	False	False
					dc test2	1045			List	0			1	Click	False	False
					EFT 2013 Enterprise Upgrade (from GSFTPS) Buyback SFTP	GSEFTUG-BBS-N-ENT			List	16755			1	Click	False	False
					EFT Server Support - Single Incident	SVC-GSEFT-X-S			List	125			1	Click	False	False
					EFT Server 4 (+PGP -ARM) - Standby License	801			List	4395			1	Click	False	False
					EFT Server 5 (+PGP +ARM) - Upgrade	EFT5U+PGP+ARM-N			List	6999			1	Click	False	False
					EFT Server 5 (+PGP -ARM) - Standby License	EFT5+PGP-ARM-N-SB			List	5695			1	Click	False	False
					EFT 2013 Enterprise Upgrade (from EFT5)	GSEFTU-N-ENT			List	9072.5			1	Click	False	False
					EFT 2013 Enterprise Upgrade [Standby] (from GSFTPS) Buyback Full	GSEFTUG-BBF-N-ENT-SB			List	7380			1	Click	False	False
					EFT Server 4 (-PGP -ARM)	713			List	7695			1	Click	False	False
					Media Set - EFT 2013 Standard	GSEFT-MEDIA			List	0			1	Click	False	False
					EFT Server 4 (+PGP -ARM) - (Bundled)	779			List	10886			1	Click	False	False
					EFT Server 4 (-PGP +ARM) - Upgrade	905			List	5825			1	Click	False	False
					EFT 2013 Enterprise Upgrade [Standby] (GSFTPS)	GSEFTUG-N-ENT-SB			List	8725			1	Click	False	False
					EFT Server 4 (-PGP +ARM) - Standby License	903			List	5170			1	Click	False	False
					EFT Server 4 (-PGP +ARM) - (Bundled)	904			List	8901			1	Click	False	False
					EFT Server 4 (+PGP +ARM) - (Bundled)	908			List	12860			1	Click	False	False
					EFT Server 5 (-PGP +ARM)	EFT5-PGP+ARM-N			List	12490			1	Click	False	False
					EFT Server 5 (-PGP +ARM) - Upgrade	EFT5U-PGP+ARM-N			List	4995			1	Click	False	False
					EFT 2013 Enterprise [Standby Only]	GSEFT-N-ENT-SB			List	9072.5			1	Click	False	False
					EFT Server 3	593			List	8010			1	Click	False	False
					EFT Server 4 (+PGP +ARM) - Standby License	907			List	6395			1	Click	False	False
					EFT 2013 Enterprise [Development Only]	GSEFT-N-ENT-DV			List	5987.85			1	Click	False	False
					EFT 2013 Enterprise Upgrade (from GSFTPS) Buyback Full	GSEFTUG-BBF-N-ENT			List	14760			1	Click	False	False
					EFT Server Migration Tools Custom Solution [Non-Prod]	GSSVC-N-MTCS-NP	EFT Server Migration Tools Custom Solution [Non-Prod]		List	1496.25			1	Click	True	False
					EFT 8 Enterprise	EFT-N-ENT	EFT 8 Enterprise		List	27354			1	Click	True	False
					EFT 8 Enterprise [Non-Prod]	EFT-N-ENT-NP	EFT 8 Enterprise [Non-Prod]		List	11397.5			1	Click	True	False
					EFT 8 Enterprise [Dev]	EFT-N-ENT-DEV	EFT 8 Enterprise [Dev]		List	7522.35			1	Click	True	False
			EFT Modules		EFT SFTP (SSH2) Module	GSEFT-N-SSH	EFT SFTP (SSH2) Module		List	895			1	Click	True	False
					EFT HTTP/S Module	GSEFT-N-HTTPS	EFT HTTP/S Module		List	895			1	Click	True	False
					EFT HTTP/S Module [Non-Prod]	GSEFT-N-HTTPS-NP	EFT HTTP/S Module [Non-Prod]		List	447.5			1	Click	True	False
					EFT SFTP (SSH2) Module [Non-Prod]	GSEFT-N-SSH-NP	EFT SFTP (SSH2) Module [Non-Prod]		List	447.5			1	Click	True	False
					Advanced Security Module (ASM)	GSEFT-N-HSM	Advanced Security Module (ASM)		List	7690			1	Click	True	False
					Advanced Security Module (ASM)[Non-Prod]	GSEFT-N-HSM-NP	Advanced Security Module (ASM)[Non-Prod]		List	3845			1	Click	True	False
					Advanced Security Module (ASM)[Dev]	GSEFT-N-HSM-DV	Advanced Security Module (ASM)[Dev]		List	2537.7			1	Click	True	False
					EFT HTTP/S Module [Dev]	GSEFT-N-HTTPS-DV	EFT HTTP/S Module [Dev]		List	295.35			1	Click	True	False
					EFT SFTP (SSH2) Module [Dev]	GSEFT-N-SSH-DV	EFT SFTP (SSH2) Module [Dev]		List	295.35			1	Click	True	False
					EFT Mobile Transfer Client (MTC) [Standby] <100	GSMTC-N-SMB-SB			List	499.5			1	Click	False	False
					EFT Mobile Transfer Client (MTC) 100-249	GSMTC-N-MID			List	1995			1	Click	False	False
					EFT Mobile Transfer Client (MTC) [Standby] 100-249	GSMTC-N-MID-SB			List	997.5			1	Click	False	False
					EFT Mobile Transfer Client (MTC) [Dev] 100-249	GSMTC-N-MID-DV			List	665			1	Click	False	False
					EFT Mobile Transfer Client (MTC) [Standby] 250-499	GSMTC-N-ENT-SB			List	1497.5			1	Click	False	False
					EFT Mobile Transfer Client (MTC) 500+	GSMTC-N-SPL			List	5000			1	Click	False	False
					EFT Mobile Transfer Client (MTC) [Standby] 500+	GSMTC-N-SPL-SB			List	2500			1	Click	False	False
					EFT Mobile Transfer Client (MTC) [Dev] 500+	GSMTC-N-SPL-DV			List	1666.67			1	Click	False	False
					EFT Express Security Module (ESM)	GSEFT-SMB-N-HSM	EFT Express Security Module (ESM)		List	995			1	Click	True	False
					EFT Express Security Module (ESM) [Dev]	GSEFT-SMB-N-HSM-DV	EFT Express Security Module (ESM) [Dev]		List	331.67			1	Click	True	False
					EFT Express Security Module (ESM) [Non-Prod]	GSEFT-SMB-N-HSM-NP	EFT Express Security Module (ESM) [Non-Prod]		List	497.5			1	Click	True	False
					EFT Express Auditing & Reporting Module (ARM)	GSEFT-SMB-N-ARM	EFT Express Auditing & Reporting Module (ARM)		List	895			1	Click	True	False
					EFT Express Auditing & Reporting Module (ARM) [Dev]	GSEFT-SMB-N-ARM-DV	EFT Express Auditing & Reporting Module (ARM) [Dev]		List	295.35			1	Click	True	False
					EFT Express Auditing & Reporting Module (ARM) [Non-Prod]	GSEFT-SMB-N-ARM-NP	EFT Express Auditing & Reporting Module (ARM) [Non-Prod]		List	447.5			1	Click	True	False
					EFT Express OpenPGP Module	GSEFT-SMB-N-PGP	EFT Express OpenPGP Module		List	895			1	Click	True	False
					EFT Express OpenPGP Module [Dev]	GSEFT-SMB-N-PGP-DV	EFT Express OpenPGP Module [Dev]		List	295.35			1	Click	True	False
					EFT Express OpenPGP Module [Non-Prod]	GSEFT-SMB-N-PGP-NP	EFT Express OpenPGP Module [Non-Prod]		List	447.5			1	Click	True	False
					EFT Express DMZ Gateway	GSDMZ-SMB-N-S	EFT Express DMZ Gateway		List	2345			1	Click	True	False
					EFT Express DMZ Gateway [Dev]	GSDMZ-SMB-N-S-DV	EFT Express DMZ Gateway [Dev]		List	781.67			1	Click	True	False
					EFT Express DMZ Gateway [Non-Prod]	GSDMZ-SMB-N-S-NP	EFT Express DMZ Gateway [Non-Prod]		List	1172.5			1	Click	True	False
					EFT Express Mobile Transfer Client (MTC) <100	GSMTC-SMB-N-SMB	EFT Express Mobile Transfer Client (MTC) <100		List	345			1	Click	True	False
					EFT Express Mobile Transfer Client (MTC) [Non-Prod] <100	GSMTC-SMB-N-SMB-NP	EFT Express Mobile Transfer Client (MTC) [Non-Prod] <100		List	172.5			1	Click	True	False
					EFT Express Mobile Transfer Client (MTC) [Dev] <100	GSMTC-SMB-N-SMB-DV	EFT Express Mobile Transfer Client (MTC) [Dev] <100		List	115			1	Click	True	False
					EFT Express Mobile Transfer Client (MTC) [Non-Prod] 100-249	GSMTC-SMB-N-MID-NP	EFT Express Mobile Transfer Client (MTC) [Non-Prod] 100-249		List	345			1	Click	True	False
					EFT Express Mobile Transfer Client (MTC) 250-499	GSMTC-SMB-N-ENT	EFT Express Mobile Transfer Client (MTC) 250-499		List	1035			1	Click	True	False
					EFT Express Mobile Transfer Client (MTC) [Non-Prod] 250-499	GSMTC-SMB-N-ENT-NP	EFT Express Mobile Transfer Client (MTC) [Non-Prod] 250-499		List	517.15			1	Click	True	False
					EFT Express Mobile Transfer Client (MTC) [Dev] 250-499	GSMTC-SMB-N-ENT-DV	EFT Express Mobile Transfer Client (MTC) [Dev] 250-499		List	345			1	Click	True	False
					EFT Express Mobile Transfer Client (MTC) 500+	GSMTC-SMB-N-SPL	EFT Express Mobile Transfer Client (MTC) 500+		List	1725			1	Click	True	False
					EFT Express Mobile Transfer Client (MTC) [Non-Prod] 500+	GSMTC-SMB-N-SPL-NP	EFT Express Mobile Transfer Client (MTC) [Non-Prod] 500+		List	862.5			1	Click	True	False
					EFT Express Mobile Transfer Client (MTC) [Dev] 500+	GSMTC-SMB-N-SPL-DV	EFT Express Mobile Transfer Client (MTC) [Dev] 500+		List	575			1	Click	True	False
					EFT Folder Monitor Module (FMM)	GSEFT-N-FMM			List	3995			1	Click	False	False
					EFT Timer Event Module (TEM)	GSEFT-N-TEM			List	3995			1	Click	False	False
					EFT File Transfer Client Module (FTC)	GSEFT-N-FTC	EFT File Transfer Client Module (FTC)		List	3995			1	Click	True	False
					EFT Folder Monitor Module (FMM) [Non-Prod]	GSEFT-N-FMM-NP	EFT Folder Monitor Module (FMM) [Non-Prod]		List	1997.5			1	Click	False	False
					EFT Timer Event Module (TEM)  [Non-Prod]	GSEFT-N-TEM-NP	EFT Timer Event Module (TEM)  [Non-Prod]		List	1997.5			1	Click	False	False
					EFT File Transfer Client Module (FTC)  [Non-Prod]	GSEFT-N-FTC-NP	EFT File Transfer Client Module (FTC)  [Non-Prod]		List	1997.5			1	Click	True	False
					EFT File Transfer Client Module (FTC)  [Dev]	GSEFT-N-FTC-DV	EFT File Transfer Client Module (FTC)  [Dev]		List	1318.35			1	Click	True	False
					EFT Insight Module	GSEFT-N-IM			List	7995			1	Click	False	False
					EFT Insight Module [Non-Prod]	GSEFT-N-IM-NP	EFT Insight Module [Non-Prod]		List	3997.5			1	Click	False	False
					GSFTP Server + 12 mo. M&S (Spcl) (Online Bundle)	651			List	631			1	Click	False	False
					EFT High Security Module (HSM) Upgrade [Dev]	GSEFTU-N-HSM-DV	EFT High Security Module (HSM) Upgrade [Dev]		List	2209.35			1	Click	True	False
					EFT SMB Web Transfer Client (WTC) Concurrent	GSWTC-SMB-N			List	695			1	Click	False	False
					scClient	GSEFT-N-SCC	scClient		List	495			1	Click	False	False
					scClient [Non-Prod]	GSEFT-N-SCC-SB	scClient [Standby]		List	247.5			1	Click	False	False
					scClient [Dev]	GSEFT-N-SCC-DV	scClient [Dev]		List	163.35			1	Click	False	False
					EFT Web Transfer Client (WTC) Concurrent	GSWTC-N			List	249			1	Click	False	False
					EFT Auditing & Reporting Module (ARM)	GSEFT-N-ARM			List	2634			1	Click	True	False
					EFT Auditing & Reporting Module [Non-Prod]	GSEFT-N-ARM-NP	EFT Auditing & Reporting Module [Non-Prod]		List	1317			1	Click	True	False
					EFT SAT Module	GSEFT-N-SAT			List	5495			1	Click	True	False
					EFT SAT Module [Non-Prod]	GSEFT-N-SAT-NP	EFT SAT Module [Non-Prod]		List	3297			1	Click	True	False
					EFT AS2 Module	GSEFT-N-AS2			List	9598.8			1	Click	True	False
					EFT AS2 Module [Non-Prod]	GSEFT-N-AS2-NP	EFT AS2 Module [Non-Prod]		List	4799.4			1	Click	True	False
					EFT OpenPGP Module	GSEFT-N-PGP			List	2634			1	Click	True	False
					EFT Advanced Workflow Engine (AWE) Module	GSEFT-N-AWE			List	8394			1	Click	True	False
