
===== SHEET: Products (8874r x 23c) =====
Product SKU	Name	Software Product Master	GP Item Class	Tax Code	Price	Legacy Product?	Bundle?	Unit Label	Is Tiered Pricing	Experlogix Series	Family Unit (Software Product Family) (Product)	Solution Group Family (Software Product Family) (Product)	Product Brand Family (Software Product Family) (Product)	Product Family (Software Product Family) (Product)	Software Product Family	Product SKU (Software Product Family) (Product)	In Bundles	Required With Items	Approval Discount Fraction	Hardware	Regional Discounts	Term Length Discounts
SB03201	New Premium Maintenance		NEW MAINT	SC100221	0	No					CIA	Automation	Workload Automation	Workload Automation Maintenance	Workload Automation Maintenance	F4WORKLOADAUTOMATION			0.25	JAMS		No
AM02000	Maintenance Plus, AutoMate Professional Edition (per License)	Maintenance Add Ons - AutoMate Pro	NEW MAINT	SC100221	300	No				New Software; New Software No Rules	CIA	Automation	Automate	Automate Desktop	Maintenance Add Ons - Automate Pro	F4MAINTADDONSAUTOMPR	2	0	0.25	None		No
AM02001	Maintenance Plus, AutoMate Desktop	Maintenance Add Ons - AutoMate Desktop	NEW MAINT	SC100221	1000	No				New Software; New Software No Rules	CIA	Automation	Automate	Automate Desktop	Maintenance Add Ons - Automate Desktop	F4MAINTADDONSAUTOMDE	2	0	0.25	None		No
AM02002	Maintenance Plus, AutoMate Enterprise Server Standard Edition (per Installation)	Maintenance Add Ons - Automate Enterprise	NEW MAINT	SC100221	2000	No				New Software; New Software No Rules	CIA	Automation	Automate	Automate	Maintenance Add Ons - Automate Enterprise	F4MAINTADDONSAUTOMEN	2	0	0.25	None		No
AM02003	Maintenance Plus, AutoMate BPA Server Enterprise Edition (per Installation)	Maintenance Add Ons - Automate BPA Server Enterprise Edition	NEW MAINT	SC100221	3000	No				New Software; New Software No Rules	CIA	Automation	Automate	Automate Maintenance	Maintenance Add Ons - Automate BPA Server Enterprise Edition	F4MAINTENANCEADDONSA	1	0	0.25	None		No
AM02004	AutoMate Single Incident	Maintenance Add Ons - Automate	NEW MAINT	SC100221	275	No				New Software; New Software No Rules	CIA	Automation	Automate	Automate Maintenance	Maintenance Add Ons - Automate	F4MAINTADDONSAUTOM			0.25	None		No
AM02005	AutoMate Unlimited Phone Incident Add-On	Maintenance Add Ons - Automate	NEW MAINT	SC100221	1925	No				New Software; New Software No Rules	CIA	Automation	Automate	Automate Maintenance	Maintenance Add Ons - Automate	F4MAINTADDONSAUTOM			0.25	None		No
AM02006	AutoMate 24x5 Add-On	Maintenance Add Ons - Automate	NEW MAINT	SC100221	5495	No				New Software No Rules	CIA	Automation	Automate	Automate Maintenance	Maintenance Add Ons - Automate	F4MAINTADDONSAUTOM			0.25	None		No
AM02007	AutoMate 24x7 Add-On	Maintenance Add Ons - Automate	NEW MAINT	SC100221	11000	No				New Software; New Software No Rules	CIA	Automation	Automate	Automate Maintenance	Maintenance Add Ons - Automate	F4MAINTADDONSAUTOM			0.25	None		No
AM02008	AutoMate Additional Point of Contact	Maintenance Add Ons - Automate	NEW MAINT	SC100221	545	No				New Software; New Software No Rules	CIA	Automation	Automate	Automate Maintenance	Maintenance Add Ons - Automate	F4MAINTADDONSAUTOM	8	0	0.25	None		No
AM02009	AutoMate Priority Diagnosis and Dispatch (Requires 24x7 Add-On)	Maintenance Add Ons - Automate	NEW MAINT	SC100221	5495	No				New Software; New Software No Rules	CIA	Automation	Automate	Automate Maintenance	Maintenance Add Ons - Automate	F4MAINTADDONSAUTOM			0.25	None		No
AM01900	AutoMate New Maintenance - New Standard Maintenance		NEW MAINT	SC100221	0	No					CIA	Automation	Automate	Automate Maintenance	Automate Maintenance	F4AUTOMMAINT			0.25	None		No
AM01901	AutoMate New Maintenance - New Premium Maintenance		NEW MAINT	SC100221	0	No					CIA	Automation	Automate	Automate Maintenance	Automate Maintenance	F4AUTOMMAINT			0.25	None		No
LN01900	New Maintenance - New Standard Maintenance		NEW MAINT	SC100221	0.2	No					CIA	Managed File Transfer	Managed File Transfer	GoAnywhere Maintenance	GoAnywhere Maintenance	F4GOAMAINT			0.25	GoAnywhere		No
LN01901	New Maintenance - New Premium Maintenance		NEW MAINT	SC100221	0.24	No					CIA	Managed File Transfer	Managed File Transfer	GoAnywhere Maintenance	GoAnywhere Maintenance	F4GOAMAINT			0.25	GoAnywhere		No
LN11900	New Maintenance - New Standard Maintenance - Cross		NEW MAINT	SC100221	0.2	No					CIA	Managed File Transfer	Managed File Transfer	GoAnywhere Maintenance	GoAnywhere Maintenance	F4GOAMAINT			0.25	GoAnywhere		No
LN11901	New Maintenance - New Premium Maintenance - Cross		NEW MAINT	SC100221	0.24	No					CIA	Managed File Transfer	Managed File Transfer	GoAnywhere Maintenance	GoAnywhere Maintenance	F4GOAMAINT			0.25	GoAnywhere		No
JM01900	JAMS New Maintenance - New Standard Maintenance		NEW MAINT	SC100221	0	No					CIA	Automation	Workload Automation	Workload Automation Maintenance	Workload Automation Maintenance	F4WORKLOADAUTOMATION			0.25	JAMS		No
JM01901	JAMS New Maintenance - New Premium Maintenance		NEW MAINT	SC100221	0	No					CIA	Automation	Workload Automation	Workload Automation Maintenance	Workload Automation Maintenance	F4WORKLOADAUTOMATION			0.25	JAMS		No
CT01900	CTS - New Standard Maintenance		NEW MAINT	SC100221	0	No					CIA	Infrastructure Protection	Core CTS	Core CTS Maintenance	Core CTS Maintenance	F4CORECTSMAINT			0.25	None		No
CT01901	CTS - New Premium Maintenance		NEW MAINT	SC100221	0	No					CIA	Infrastructure Protection	Core CTS	Core CTS Maintenance	Core CTS Maintenance	F4CORECTSMAINT			0.25	None		No
AM03600	Maintenance Plus, Automate Plus and Ultimate	Maintenance Add Ons - Automate Plus And Ultimate	NEW MAINT	SC100221	2000	No				New Software; New Software No Rules	CIA	Automation	Automate	Automate	Maintenance Add Ons - Automate Plus And Ultimate	F4MAINTADDONSAUTOMPL			0.25	None		No
CT02105	CTS - New Standard Hardware Maintenance		NEW MAINT	SC100221	0	No					CIA	Infrastructure Protection	Core CTS	Core CTS Maintenance	Core CTS Maintenance	F4CORECTSMAINT			0.25	None		No
CT01191	CTS - New Standard Maintenance - Gov		NEW MAINT	SC100221	0	No					CIA	Infrastructure Protection	Core CTS	Core CTS Maintenance	Core CTS Maintenance	F4CORECTSMAINT			0.25	None		No
CT01194	CTS - New Standard Maintenance - GSA (via Partner)		NEW MAINT	SC100221	0	No					CIA	Infrastructure Protection	Core CTS	Core CTS Maintenance	Core CTS Maintenance	F4CORECTSMAINT			0.25	None		No
LN08014	GoAnywhere Premium Support+	Support +	NEW MAINT	SC100221	10000	No	No			New Software No Rules	CIA	Managed File Transfer	Managed File Transfer	GoAnywhere Maintenance	GoAnywhere Support +	F4GOASUPPORTPLUS			0.25	GoAnywhere		No
LN08015	GoAnywhere Premium Support+ Clustered	Support +	NEW MAINT	SC100221	5000	No	No				CIA	Managed File Transfer	Managed File Transfer	GoAnywhere Maintenance	GoAnywhere Support +	F4GOASUPPORTPLUS			0.25	GoAnywhere		No
LN08016	GoAnywhere Support + (Software++)	Support +	NEW MAINT	DC010500	4005	No					CIA	Managed File Transfer	Managed File Transfer	GoAnywhere Maintenance	GoAnywhere Support +	F4GOASUPPORTPLUS			0.25	GoAnywhere		No
CS00271	Clearswift New Maintenance - New Standard Maintenance		NEW MAINT	SC100221	0	No	No				CIA	Email Security	Clearswift	Clearswift Maintenance	Clearswift Maintenance	F4CSMAINT			0.25	None		No
CS00845	Clearswift Advanced Support	Clearswift Premium Support	NEW MAINT	SC100221	0	No	No			Subscriptions No Rules	CIA	Email Security	Clearswift	Clearswift Maintenance	Clearswift Premium Support	F4CSPREMIUMSUPPORT			0.25	None		No
CS00846	Clearswift Standard+ Support	Clearswift Premium Support	NEW MAINT	SC100221	0	No	No			Subscriptions No Rules	CIA	Email Security	Clearswift	Clearswift Maintenance	Clearswift Premium Support	F4CSPREMIUMSUPPORT			0.25	None		No
CS08191	MIMEsweeper SMTP - Maintenance - 1-1000000	MIMEsweeper Support	NEW MAINT	SC100221	0	No	No				CIA	Email Security	Clearswift	Clearswift Maintenance	MIMEsweeper Support	F4MIMESWEEPERSUPPORT			0.25	None		No
CS08192	IMAGEmanager for MIMEsweeper SMTP - Maintenance - 1-1000000	MIMEsweeper Support	NEW MAINT	SC100221	0	No	No				CIA	Email Security	Clearswift	Clearswift Maintenance	MIMEsweeper Support	F4MIMESWEEPERSUPPORT			0.25	None		No
CS08193	EXCHANGEmanager for MIMEsweeper SMTP - Maintenance - 1-1000000	MIMEsweeper Support	NEW MAINT	SC100221	0	No	No				CIA	Email Security	Clearswift	Clearswift Maintenance	MIMEsweeper Support	F4MIMESWEEPERSUPPORT			0.25	None		No
FC08045	New Maintenance - New Standard Maintenance (FileCatalyst)		NEW MAINT	SC100221	0	No					CIA	Managed File Transfer	Managed File Transfer	FileCatalyst Maintenance	FileCatalyst Maintenance	F4FILECATALYSTMAINT			0.25	GoAnywhere		No
CB00050	Cobalt Strike New Maintenance - New Standard Maintenance	Cobalt Strike	NEW MAINT	SC100221	0	No					CIA	Infrastructure Protection	Cobalt Strike	Cobalt Strike	Cobalt Strike	F4COBALTSTRIKE			0.25	None		No
CB00500	Cobalt Strike Level 101	Cobalt Strike Services	OTHER	SC070321	600	No	No		No	New Software; New Software No Rules; Professional Services	CIA	Infrastructure Protection	Cobalt Strike	Cobalt Strike	Cobalt Strike Services	F4COBALTSTRIKESERVICES			0.25	None		No
CB00501	Cobalt Strike Level 102	Cobalt Strike Services	OTHER	SC070321	350	No	No		No	New Software; New Software No Rules; Professional Services	CIA	Infrastructure Protection	Cobalt Strike	Cobalt Strike	Cobalt Strike Services	F4COBALTSTRIKESERVICES			0.25	None		No
CB00502	Cobalt Strike Level 101 & 102	Cobalt Strike Services	OTHER	SC070321	850	No	No		No	New Software; New Software No Rules; Professional Services	CIA	Infrastructure Protection	Cobalt Strike	Cobalt Strike	Cobalt Strike Services	F4COBALTSTRIKESERVICES			0.25	None		No
DD00438	Hardware RNA - Per 1-Time Project - Desktop	Hardware RNA	OTHER	PR0910000	600	No	No			New Software; New Software No Rules	CIA	Infrastructure Protection	Digital Defense	Vulnerability Management	Hardware RNA	F4HARDWARERNA			0.25	None		No
DD00439	Hardware RNA - Recurring Services Contract - Desktop	Hardware RNA	OTHER	PR0910000	1200	No	No			New Software; New Software No Rules	CIA	Infrastructure Protection	Digital Defense	Vulnerability Management	Hardware RNA	F4HARDWARERNA			0.25	None		No
DD00440	Hardware RNA - Per 1-Time Project - Rack Mount	Hardware RNA	OTHER	PR0910000	1500	No	No			New Software; New Software No Rules	CIA	Infrastructure Protection	Digital Defense	Vulnerability Management	Hardware RNA	F4HARDWARERNA			0.25	None		No
DD00441	Hardware RNA - Recurring Services Contract - Rack Mount	Hardware RNA	OTHER	PR0910000	3000	No	No			New Software; New Software No Rules	CIA	Infrastructure Protection	Digital Defense	Vulnerability Management	Hardware RNA	F4HARDWARERNA			0.25	None		No
DG05001	DG CI1600 Appliance	DG Appliance (nDLP)	OTHER	PR0910000	16900	No	No		No	Subscriptions; Subscriptions No Rules	CIA	Data Protection	Digital Guardian DLP	Network DLP	DG CI1600 Appliance	F4DGCI1600APPLIANCE170			0.25	None		No
DG05002	DG CI3200 Appliance	DG Appliance (nDLP)	OTHER	PR0910000	23900	No	No		No	Subscriptions; Subscriptions No Rules	CIA	Data Protection	Digital Guardian DLP	Network DLP	DG CI3200 Appliance	F4DGCI3200APPLIANCE171			0.25	None		No
AM02102	AutoMate Administration License Fee		OTHER	ON020000	1000	No				New Software; New Software No Rules; Professional Services	CIA	Automation	Automate	Automate Maintenance	Automate Maintenance	F4AUTOMMAINT			0.25	None		No
LN02102	GoAnywhere Administration Licenses Fee		OTHER	DC010500	1000	No				New Software; Professional Services	CIA	Managed File Transfer	Managed File Transfer	GoAnywhere Maintenance	GoAnywhere Maintenance	F4GOAMAINT			0.25	GoAnywhere		No
LN99999	Linoma Other		OTHER	ON020000	0	No					CIA	Managed File Transfer	Managed File Transfer	GoAnywhere Services	GoAnywhere Services	F4GOASERV			0.25	GoAnywhere		No
SB02102	Skybot Administration License Fee		OTHER	ON020000	1000	No				New Software; New Software No Rules; Professional Services	CIA	Automation	Workload Automation	Workload Automation Maintenance	Workload Automation Maintenance	F4WORKLOADAUTOMATION			0.25	JAMS		No
JM02102	JAMS Administration License Fee		OTHER	ON020000	1000	No				New Software No Rules	CIA	Automation	Workload Automation	Workload Automation Maintenance	Workload Automation Maintenance	F4WORKLOADAUTOMATION			0.25	JAMS		No
JM99999	JAMS Other (Sales Support Overwrite only)		OTHER	DC010500	0	No					CIA	Automation	Workload Automation	Workload Automation Maintenance	Workload Automation Maintenance	F4WORKLOADAUTOMATION			0.25	JAMS		No
SB99999	Skybot Other		OTHER	ON020000	0	No					CIA	Automation	Workload Automation	Automate Schedule	Autome Schedule Legacy Product	F4AUTOMESCHEDLEGACYP			0.25	Skybot		No
CT02102	CTS Administration License Fee		OTHER	ON020000	1050	No				New Software No Rules; Professional Services; Subscriptions No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Maintenance	Core CTS Maintenance	F4CORECTSMAINT			0.25	None		No
CT03003	Combo MC and Sensor (Gen4)	CTS Hardware	OTHER	PC070200	7245	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT03005	CSP MC	CTS Hardware	OTHER	PC070200	7245	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT03007	CSP Sensor	CTS Hardware	OTHER	PC070200	7245	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT03008	Expansion Interface (1x10GB Single-Mode Fiber)	CTS Hardware	OTHER	PC070200	1025.85	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT03009	Expansion Interface (2x10GB Copper)	CTS Hardware	OTHER	PC070200	563.85	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT03010	Expansion Interface (2x10GB Multi-Mode Fiber)	CTS Hardware	OTHER	PC070200	529.2	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT03011	Expansion Interface (4x1GB Copper)	CTS Hardware	OTHER	PC070200	576.45	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT03012	Expansion Interface (4x1GB Multi-Mode Fiber)	CTS Hardware	OTHER	PC070200	1636.95	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT03013	Expansion Memory - (96GB)	CTS Hardware	OTHER	PC070200	2000	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT03017	MC Purchase (Gen4)	CTS Hardware	OTHER	PC070200	17000	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT03019	MicroSensor Out of Band	CTS Hardware	OTHER	PC070200	1577.1	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT03023	Sensor Purchase (Gen4)	CTS Hardware	OTHER	PC070200	7245	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT03024	FS3000MCC-S-INC	CTS Hardware	OTHER	PC070200	0	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT03026	MicroSensor Inline	CTS Hardware	OTHER	PC070200	1500	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT03027	NFR Combo MC and Sensor (Gen4)	CTS Hardware	OTHER	PC070200	7245	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT03000	Combo MC and Sensor Annual Lease (Gen4)	CTS Hardware	OTHER	PC070200	6000	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT03001	Combo MC and Sensor GVT Annual Lease (Gen4)	CTS Hardware	OTHER	PC070200	6000	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT03004	CSP MC Annual Lease	CTS Hardware	OTHER	PC070200	6250	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT03006	CSP Sensor Annual Lease	CTS Hardware	OTHER	PC070200	5400	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT03014	MC Annual Lease (Gen4)	CTS Hardware	OTHER	PC070200	6000	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT03015	MC GVT Annual Lease (Gen4)	CTS Hardware	OTHER	PC070200	6000	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT03018	MicroSensor Out of Band Annual Lease	CTS Hardware	OTHER	PC070200	800	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT03020	Sensor Annual Lease (Gen4)	CTS Hardware	OTHER	PC070200	5000	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT03021	Sensor GVT Annual Lease (Gen4)	CTS Hardware	OTHER	PC070200	5000	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT03025	MicroSensor Inline Annual Lease	CTS Hardware	OTHER	PC070200	800	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT07010	MC GVT - Perpetual - Gov	CTS Hardware	OTHER	PC070200	17000	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT07011	Combo MC and Sensor GVT - Perpetual - Gov	CTS Hardware	OTHER	PC070200	17000	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT07012	Sensor GVT - Perpetual - Gov	CTS Hardware	OTHER	PC070200	15000	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT07013	Virtual Microsensor GVT - Perpetual - Gov	CTS Hardware	OTHER	PC070200	1320	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT07014	MicroSensor Out of Band GVT - Perpetual - Gov	CTS Hardware	OTHER	PC070200	1500	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT07015	MicroSensor Inline GVT - Perpetual - Gov	CTS Hardware	OTHER	PC070200	1500	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT07019	Expansion Interface (1x10GB Single-Mode Fiber) - Gov	CTS Hardware	OTHER	PC070200	1500	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT07020	Expansion Interface (2x10GB Copper) - Gov	CTS Hardware	OTHER	PC070200	1100	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT07021	Expansion Interface (2x10GB Multi-Mode Fiber) - Gov	CTS Hardware	OTHER	PC070200	1350	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT07022	Expansion Interface (4x1GB Copper) - Gov	CTS Hardware	OTHER	PC070200	1000	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT07023	Expansion Interface (4x1GB Multi-Mode Fiber) - Gov	CTS Hardware	OTHER	PC070200	1250	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT07024	Expansion Memory - Management Console (96GB) - Gov	CTS Hardware	OTHER	PC070200	2000	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT07029	MC GVT - Perpetual - GSA (via Partner)	CTS Hardware	OTHER	PC070200	15000	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT07030	Combo MC and Sensor GVT - Perpetual - GSA (via Partner)	CTS Hardware	OTHER	PC070200	15000	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT07031	Sensor GVT - Perpetual - GSA (via Partner)	CTS Hardware	OTHER	PC070200	13000	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT07032	Virtual Microsensor GVT - Perpetual - GSA (via Partner)	CTS Hardware	OTHER	PC070200	1200	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT07033	MicroSensor Out of Band GVT - Perpetual - GSA (via Partner)	CTS Hardware	OTHER	PC070200	1500	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT07034	MicroSensor Inline GVT - Perpetual - GSA (via Partner)	CTS Hardware	OTHER	PC070200	1500	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
CT07037	Expansion Interface (1x10GB Single-Mode Fiber) - GSA (via Partner)	CTS Hardware	OTHER	PC070200	1364	Yes				New Software No Rules	CIA	Infrastructure Protection	Core CTS	Core CTS Hardware	CTS Hardware	F4CTSHARDWARE			0.25	None		No
