
===== SHEET: Quote (166r x 21c) =====
Still in Use	BSI Notes	API Name	Label	Type	Length	Precision	Scale	Required	Unique	External ID	Default Value	Formula	Help Text	Reference To	Relationship Name	Picklist Values	Createable	Updateable	Deprecated	Custom
Yes	These are used by Salesforce (Steelbrick CPQ). I assume similar things exist in RCA, but these are only needed of RCA needs them.	SBQQ__PricingMethodEditable__c	Pricing Method Editable	boolean	0	0	0	Yes	No	No	False		Select if Pricing Method can be changed when this product is added to quote.				No	No	No	Yes
Yes	These are used by Salesforce (Steelbrick CPQ). I assume similar things exist in RCA, but these are only needed of RCA needs them.	SBQQ__PricingMethod__c	Pricing Method	picklist	255	0	0	No	No	No	List		Pricing method that should be applied to this product.			List, Cost, Block, Percent Of Total	No	No	No	Yes
Yes	These are used by Salesforce (Steelbrick CPQ). I assume similar things exist in RCA, but these are only needed of RCA needs them.	SBQQ__ProductPictureID__c	Product Picture Id	string	18	0	0	No	No	No			ID of Document or Content record that holds the picture for this product.				No	No	No	Yes
Yes	These are used by Salesforce (Steelbrick CPQ). I assume similar things exist in RCA, but these are only needed of RCA needs them.	SBQQ__QuantityEditable__c	Quantity Editable	boolean	0	0	0	Yes	No	No	True		Allow or prevent changing the quantity for this product.				No	No	No	Yes
Yes	These are used by Salesforce (Steelbrick CPQ). I assume similar things exist in RCA, but these are only needed of RCA needs them.	SBQQ__QuantityScale__c	Quantity Scale	double	0	1	0	No	No	No			Specifies the number of decimal places used in the Quantity field.				No	No	No	Yes
Yes	These are used by Salesforce (Steelbrick CPQ). I assume similar things exist in RCA, but these are only needed of RCA needs them.	SBQQ__ReconfigurationDisabled__c	Disable Reconfiguration	boolean	0	0	0	Yes	No	No	False		When checked this product can only be configured when first added to a quote. If selected, users will not have access to a Configure link on the Edit Lines page after product has been added.				No	No	No	Yes
Yes	These are used by Salesforce (Steelbrick CPQ). I assume similar things exist in RCA, but these are only needed of RCA needs them.	SBQQ__RenewalProduct__c	Renewal Product	reference	18	0	0	No	No	No			Product that replaces this product on renewal. Use this to quote a different SKU when renewing.	Product2	SBQQ__RenewalProduct__r		No	No	No	Yes
Yes	These are used by Salesforce (Steelbrick CPQ). I assume similar things exist in RCA, but these are only needed of RCA needs them.	SBQQ__SortOrder__c	Sort Order	double	0	18	0	No	No	No			Determines a default sort order of products in the Product Lookup page, and therefore the order in which they are added to the quote.				No	No	No	Yes
Yes	These are used by Salesforce (Steelbrick CPQ). I assume similar things exist in RCA, but these are only needed of RCA needs them.	SBQQ__Specifications__c	Specifications	textarea	32000	0	0	No	No	No			Formatted specifications for this product for use in quote templates to produce spec sheets.				No	No	No	Yes
Yes	These are used by Salesforce (Steelbrick CPQ). I assume similar things exist in RCA, but these are only needed of RCA needs them.	SBQQ__SubscriptionCategory__c	Percent Of Total Category	picklist	255	0	0	No	No	No			Use this to limit percent of total calculations to certain product categories. For example, software maintenance should only calculate percentage on products with a software maintenance percent of total category.			Hardware, Software	No	No	No	Yes
Yes	These are used by Salesforce (Steelbrick CPQ). I assume similar things exist in RCA, but these are only needed of RCA needs them.	SBQQ__SubscriptionConversion__c	Subscription Conversion	picklist	255	0	0	No	No	No			Indicates how this Product is converted to Subscriptions			One per subscribed asset	No	No	No	Yes
Yes	These are used by Salesforce (Steelbrick CPQ). I assume similar things exist in RCA, but these are only needed of RCA needs them.	SBQQ__SubscriptionPercent__c	Percent Of Total (%)	percent	0	7	3	No	No	No			Percent of non-subscription total to be used as the price of this subscription.				No	No	No	Yes
Yes	These are used by Salesforce (Steelbrick CPQ). I assume similar things exist in RCA, but these are only needed of RCA needs them.	SBQQ__SubscriptionTarget__c	Percent Of Total Target	reference	18	0	0	No	No	No			Use this field to override a product that is included in a percent of total calculation. Point this lookup to a product with a list price you would like to use for the current product’s Percent of Total calculations.	Product2	SBQQ__SubscriptionTarget__r		No	No	No	Yes
Yes	These are used by Salesforce (Steelbrick CPQ). I assume similar things exist in RCA, but these are only needed of RCA needs them.	SBQQ__TaxCode__c	Tax code	string	255	0	0	No	No	No			Specifies the tax code for taxation rules.				No	No	No	Yes
Yes	These are used by Salesforce (Steelbrick CPQ). I assume similar things exist in RCA, but these are only needed of RCA needs them.	SBQQ__Taxable__c	Taxable	boolean	0	0	0	Yes	No	No	False		Indicates whether this product is taxable.				No	No	No	Yes
Yes	These are used by Salesforce (Steelbrick CPQ). I assume similar things exist in RCA, but these are only needed of RCA needs them.	SBQQ__TermDiscountLevel__c	Term Discount Level	picklist	255	0	0	No	No	No			Specify subscription term level that should be used in calculating term discount. Leave blank to indicate default.			Line, Group, Quote	No	No	No	Yes
Yes	These are used by Salesforce (Steelbrick CPQ). I assume similar things exist in RCA, but these are only needed of RCA needs them.	SBQQ__UpgradeCredit__c	Upgrade Credit	reference	18	0	0	No	No	No			Use to specify credit when quoting upgrades to this product.	Product2	SBQQ__UpgradeCredit__r		No	No	No	Yes
Yes	These are used by Salesforce (Steelbrick CPQ). I assume similar things exist in RCA, but these are only needed of RCA needs them.	SBQQ__UpgradeRatio__c	Upgrade Ratio	double	0	8	3	No	No	No			The conversion rate between this product's quantity and that of its source product.				No	No	No	Yes
Yes	These are used by Salesforce (Steelbrick CPQ). I assume similar things exist in RCA, but these are only needed of RCA needs them.	SBQQ__UpgradeSource__c	Upgrade Source	reference	18	0	0	No	No	No			Product being upgraded. Populating this field makes this product an upgrade.	Product2	SBQQ__UpgradeSource__r		No	No	No	Yes
Yes	These are used by Salesforce (Steelbrick CPQ). I assume similar things exist in RCA, but these are only needed of RCA needs them.	SBQQ__UpgradeTarget__c	Upgrade Target	reference	18	0	0	No	No	No			Specify the upgraded product. Only applicable if this product is an upgrade as indicated by Upgrade Source field being populated or having related Upgrade Source records.	Product2	SBQQ__UpgradeTarget__r		No	No	No	Yes
no		StockKeepingUnit	Product SKU	string	180	0	0	No	No	No							No	No	No	No
Yes		SubCategory__c	SubCategory	picklist	255	0	0	No	No	No						EFT Continuum Servers, M&S EFT Continuum, EFT Bundles, EFT Enterprise Bundles, EFT Enterprise Servers, EFT Modules, EFT SMB Bundles, EFT SMB Servers, CuteFTP, Hosted EFT, Hosted EFT Additional Features, M_SCC_ACT, M&S CuteFTP, M&S EFT Bundles, M&S EFT Enterprise Servers, M&S EFT Modules, M&S EFT SMB Servers, M&S Mail Express, M&S Professional Services, M&S Secure Drive, M&S WAFS, M&S Web Transfer Client (WTC), M&S Workspaces (WSM), Mail Express, MIX, MIX Additional Features, Professional Services, Professional Services TAM, Professional Services Bundles, SCC_ACT, Secure Drive, WAFS, Web Transfer Client (WTC), Workspaces (WSM), PSTools, Enterprise Upgrades, SMB Upgrades, Implementation, Staff Augmentation, Kenetix, Arcus, Arcus Standard, Arcus Platinum, Arcus Add-on, Arcus Basic, Arcus Custom, Arcus Premium, Upgrades, Public Training, Assessments, Quickstarts, Cutovers, HealthChecks & Assessments, HealthChecks, Migrations, T&M Custom Projects, Training, Consulting, Hours, Accelerators, Prepaid Hours, Hourly TAM, PS EFT TAM	No	No	No	Yes
Yes		Support_Type__c	Support Type	picklist	255	0	0	No	No	No						Standard, Platinum, NoSupport, Basic, Professional, Premier, Expert	No	No	No	Yes
No	There was a project to move to NetSuite, but was cancelled when Globalscape was acquired by Fortra	netsuite_conn__Celigo_Update__c	Celigo Update	boolean	0	0	0	Yes	No	No	False						No	No	No	Yes
No	There was a project to move to NetSuite, but was cancelled when Globalscape was acquired by Fortra	netsuite_conn__Item_Category__c	Item Category	string	255	0	0	No	No	No							No	No	No	Yes
No	There was a project to move to NetSuite, but was cancelled when Globalscape was acquired by Fortra	netsuite_conn__NetSuite_Id__c	NetSuite Id	string	255	0	0	No	Yes	Yes							No	No	No	Yes
No	There was a project to move to NetSuite, but was cancelled when Globalscape was acquired by Fortra	netsuite_conn__NetSuite_Item_Type__c	NetSuite Item Type	picklist	255	0	0	No	No	No						Inventory Item, Inventory Lot Numbered, Inventory Serialized, Non Inventory Purchase, Non Inventory ReSale, Non Inventory Sale, Service Purchase, Service ReSale, Service Sale	No	No	No	Yes
No	There was a project to move to NetSuite, but was cancelled when Globalscape was acquired by Fortra	netsuite_conn__NetSuite_Sync_Err__c	NetSuite Sync Error	textarea	32768	0	0	No	No	No							No	No	No	Yes
No	There was a project to move to NetSuite, but was cancelled when Globalscape was acquired by Fortra	netsuite_conn__Push_To_NetSuite__c	Push To NetSuite	boolean	0	0	0	Yes	No	No	False						No	No	No	Yes
No	There was a project to move to NetSuite, but was cancelled when Globalscape was acquired by Fortra	netsuite_conn__Sub_Type__c	Sub Type	string	255	0	0	No	No	No							No	No	No	Yes
No	There was a project to move to NetSuite, but was cancelled when Globalscape was acquired by Fortra	netsuite_conn__Sync_In_Progress__c	Sync In Progress	boolean	0	0	0	Yes	No	No	False						No	No	No	Yes
No	There was a project to move to NetSuite, but was cancelled when Globalscape was acquired by Fortra	netsuite_conn__Term_Contract_Pricing_Type__c	Term / Contract Pricing Type	string	255	0	0	No	No	No							No	No	No	Yes
